Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,20/05/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,626301,SUME AUC Capital Additions,"£33,697,838.65"
Ministry of Defence,Ministry of Defence,30/05/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,627889,Prop Dw SCA Serv Chrge+ Off BS,"£29,588,487.78"
Ministry of Defence,Ministry of Defence,26 May 2022,Assets under Construction,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000020086,SUME AUC Capital Additions,"£27,725,476.90"
Ministry of Defence,Ministry of Defence,04/05/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,622583,Prop Dw SCA Serv Chrge+ Off BS,"£26,657,654.65"
Ministry of Defence,Ministry of Defence,09/05/2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000019944,RMC Oil Fuel & Lubricants,"£18,443,188.49"
Ministry of Defence,Ministry of Defence,04 May 2022,Assets under Construction,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000019897,SUME AUC Capital Additions,"£17,765,584.07"
Ministry of Defence,Ministry of Defence,11/05/2022,Raw Materials + Consumables,Defence Equipment and Support,KUWAIT PETROLEUM INTERNATIONAL AVIATION COMPANY (UK) LTD,GU21 5BH,2000019950,RMC Oil Fuel & Lubricants,"£17,090,619.25"
Ministry of Defence,Ministry of Defence,20/05/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,626177,Electricity,"£16,888,657.04"
Ministry of Defence,Ministry of Defence,03/05/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,622479,P+M General Services,"£14,639,916.34"
Ministry of Defence,Ministry of Defence,26/05/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,627293,P+M General Services,"£13,833,884.38"
Ministry of Defence,Ministry of Defence,19/05/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020020,SUME AUC Capital Additions,"£13,658,315.84"
Ministry of Defence,Ministry of Defence,16/05/2022,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,625200,Defence Eqpt Serv Chrge+Off BS,"£13,362,136.00"
Ministry of Defence,Ministry of Defence,25/05/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,627027,P+M General Services,"£9,586,102.35"
Ministry of Defence,Ministry of Defence,09/05/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16807,Monthly GPC Payment,"£9,189,548.30"
Ministry of Defence,Ministry of Defence,24/05/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,CF10 2GE,626802,Prop NonDw SCA Srv Chrg+Off BS,"£9,150,827.96"
Ministry of Defence,Ministry of Defence,25/05/2022,Raw Materials + Consumables,Defence Equipment and Support,WORLD FUEL SERVICES EUROPE  LTD.,SW1E 6AJ,2000020075,RMC Oil Fuel & Lubricants,"£8,662,330.27"
Ministry of Defence,Ministry of Defence,26/05/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,627293,SUME AUC Capital Additions,"£8,480,895.52"
Ministry of Defence,Ministry of Defence,25/05/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,627051,SUME AUC Capital Additions,"£7,753,763.17"
Ministry of Defence,Ministry of Defence,25/05/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,627025,Prop Dw SCA Serv Chrge+ Off BS,"£7,556,626.84"
Ministry of Defence,Ministry of Defence,26/05/2022,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,627293,P+M General Services,"£7,359,475.44"
Ministry of Defence,Ministry of Defence,11/05/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16818,Monthly GPC Payment,"£6,681,929.98"
Ministry of Defence,Ministry of Defence,20/05/2022,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,626266,Defence Eqpt Serv Chrge+Off BS,"£6,562,986.00"
Ministry of Defence,Ministry of Defence,30/05/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020103,Intangible Cap Additions In Yr,"£6,453,584.97"
Ministry of Defence,Ministry of Defence,04/05/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000019893,Intangible Cap Additions In Yr,"£6,270,468.71"
Ministry of Defence,Ministry of Defence,04/05/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,622590,P+M General Services,"£6,150,567.36"
Ministry of Defence,Ministry of Defence,12/05/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16823,Monthly GPC Payment,"£5,768,763.56"
Ministry of Defence,Ministry of Defence,16/05/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,625260,CL MonthEnd Accruals Balance,"£5,669,448.34"
Ministry of Defence,Ministry of Defence,16/05/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,625039,Defence Eqpt Serv Chrge+Off BS,"£5,474,844.05"
Ministry of Defence,Ministry of Defence,27/05/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,627688,P+M General Services,"£5,211,397.08"
Ministry of Defence,Ministry of Defence,25/05/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,626962,Fiscal AUC Capital Additions,"£5,099,853.93"
Ministry of Defence,Ministry of Defence,06/05/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,623358,Prop NonDw SCA Srv Chrg+Off BS,"£4,763,412.35"
Ministry of Defence,Ministry of Defence,24/05/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,626920,CL MonthEnd Accruals Balance,"£4,736,046.80"
Ministry of Defence,Ministry of Defence,03/05/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERSTEVIN LIMITED,PR2 5PE,622435,Fiscal AUC Capital Additions,"£4,709,160.11"
Ministry of Defence,Ministry of Defence,26/05/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,627291,Prop NonDw SCA Srv Chrg+Off BS,"£4,669,639.58"
Ministry of Defence,Ministry of Defence,03/05/2022,Intangibles SUME,Defence Equipment and Support,LEONARDO UK LTD,LU1 3PG,622483,Intangible Cap Additions In Yr,"£4,570,860.00"
Ministry of Defence,Ministry of Defence,25/05/2022,Intangibles SUME,Defence Nuclear Organisation,BAE SYSTEMS MARINE LTD,LA14 1AF,626971,Intangible Cap Additions In Yr,"£4,521,259.90"
Ministry of Defence,Ministry of Defence,25/05/2022,Assets under Construction,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000069601,Fiscal AUC Capital Additions,"£4,304,607.27"
Ministry of Defence,Ministry of Defence,11/05/2022,Assets under Construction,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000069314,Fiscal AUC Capital Additions,"£4,247,168.55"
Ministry of Defence,Ministry of Defence,27/05/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,627573,Prop NonDw SCA Srv Chrg+Off BS,"£4,133,118.83"
Ministry of Defence,Ministry of Defence,09/05/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,623505,Water + Sewerage,"£4,090,829.24"
Ministry of Defence,Ministry of Defence,18/05/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,625723,CL MonthEnd Accruals Balance,"£3,996,125.33"
Ministry of Defence,Ministry of Defence,04/05/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000069162,Estate+Facilities Mgmnt Servs,"£3,713,193.64"
Ministry of Defence,Ministry of Defence,17 May 2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,6000069398,SUME AUC Capital Additions,"£3,512,847.09"
Ministry of Defence,Ministry of Defence,17/05/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,625440,CL MonthEnd Accruals Balance,"£3,427,055.63"
Ministry of Defence,Ministry of Defence,09/05/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,EMP 16811,Monthly GPC Payment,"£3,383,197.60"
Ministry of Defence,Ministry of Defence,30/05/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000069649,Estate+Facilities Mgmnt Servs,"£3,060,915.23"
Ministry of Defence,Ministry of Defence,16/05/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000020000,Defence Eqpt Serv Chrge+Off BS,"£2,944,798.84"
Ministry of Defence,Ministry of Defence,30/05/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020103,P+M General Services,"£2,937,882.51"
Ministry of Defence,Ministry of Defence,26/05/2022,Assets under Construction,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000069609,Fiscal AUC Capital Additions,"£2,927,615.23"
Ministry of Defence,Ministry of Defence,25/05/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,VEOLIA WATER NEVIS LIMITED,WS11 8JP,626955,Prop NonDw SCA Srv Chrg+Off BS,"£2,904,894.71"
Ministry of Defence,Ministry of Defence,16/05/2022,Fuels Non Utilities Consumed,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,625096,Fuels Non Utilities Consumed,"£2,762,442.73"
Ministry of Defence,Ministry of Defence,06/05/2022,Rental Payments - Transport,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,623319,Rental Payments-Transport-Oth,"£2,675,736.00"
Ministry of Defence,Ministry of Defence,26/05/2022,Capital Spares,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000069615,CS Engineering + Technical,"£2,653,878.34"
Ministry of Defence,Ministry of Defence,27/05/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020093,P+M General Services,"£2,631,477.58"
Ministry of Defence,Ministry of Defence,24/05/2022,Telecomms + IT non capital,Strategic Command,ATOS IT SERVICES UK LIMITED,WV10 6UH,626842,IT+Comms Rental Payments,"£2,591,115.05"
Ministry of Defence,Ministry of Defence,20/05/2022,Telecomms + IT non capital,Army Command,AKHTER COMPUTERS LIMITED,CM18 7PN,626453,IT+Comms Rental Payments,"£2,537,182.08"
Ministry of Defence,Ministry of Defence,26/05/2022,Decom+Restoration Liab Nuclear,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,627293,Decom+Restoration Liab Nuclear,"£2,523,478.62"
Ministry of Defence,Ministry of Defence,05/05/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,622944,P+M General Services,"£2,508,576.57"
Ministry of Defence,Ministry of Defence,12/05/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,624466,P+M General Services,"£2,484,470.00"
Ministry of Defence,Ministry of Defence,10/05/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,623774,Gas,"£2,470,088.95"
Ministry of Defence,Ministry of Defence,18/05/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000020013,P+M General Services,"£2,406,430.06"
Ministry of Defence,Ministry of Defence,10/05/2022,Rental Payments - Transport,Strategic Command,SPLIETHOFF TRANSPORT B.V.,,6000069301,Rental Payments-Transport-Oth,"£2,290,348.10"
Ministry of Defence,Ministry of Defence,26/05/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020084,P+M General Services,"£2,247,064.12"
Ministry of Defence,Ministry of Defence,19/05/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,LAGAN  AVIATION & INFRASTRUCTURE LIMITED,BT3 9HA,625888,Fiscal AUC Capital Additions,"£2,229,824.03"
Ministry of Defence,Ministry of Defence,24/05/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,626744,Estate+Facilities Mgmnt Servs,"£2,215,587.21"
Ministry of Defence,Ministry of Defence,16/05/2022,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,625234,Rental Payments-Transport-Oth,"£2,161,808.30"
Ministry of Defence,Ministry of Defence,05/05/2022,Rental Payments - Buildings,Army Command,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,623017,Prop NonDw SCA Srv Chrg+Off BS,"£2,112,726.67"
Ministry of Defence,Ministry of Defence,06/05/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,623229,SUME AUC Capital Additions,"£2,054,108.16"
Ministry of Defence,Ministry of Defence,18/05/2022,External Education + Training,Air Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,625673,External Training Mil.,"£2,033,601.23"
Ministry of Defence,Ministry of Defence,13/05/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,624709,Estate+Facilities Mgmnt Servs,"£1,954,402.35"
Ministry of Defence,Ministry of Defence,25/05/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,626962,Estate+Facilities Mgmnt Servs,"£1,894,545.14"
Ministry of Defence,Ministry of Defence,05/05/2022,IT+Comms Equipment,Strategic Command,BOXXE LIMITED,YO31 7RE,622840,IT+Comms Capital Addtns In Yr,"£1,894,340.22"
Ministry of Defence,Ministry of Defence,24/05/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,FALCON SUPPORT SERVICES LIMITED,M1 4HB,626707,Prop Dw SCA Serv Chrge+ Off BS,"£1,881,867.51"
Ministry of Defence,Ministry of Defence,10 May 2022,Assets under Construction,Defence Equipment and Support,INSTRO PRECISION LTD,CT13 9FL,623780,SUME AUC Capital Additions,"£1,875,998.88"
Ministry of Defence,Ministry of Defence,25/05/2022,P+M General Services,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000069594,P+M General Services,"£1,871,562.78"
Ministry of Defence,Ministry of Defence,03/05/2022,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,622538,SUME AUC Capital Additions,"£1,858,049.12"
Ministry of Defence,Ministry of Defence,11/05/2022,P+M General Services,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,624330,P+M General Services,"£1,806,761.20"
Ministry of Defence,Ministry of Defence,30/05/2022,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,627905,Defence Eqpt Serv Chrge+Off BS,"£1,793,351.00"
Ministry of Defence,Ministry of Defence,05/05/2022,Telecomms + IT non capital,Strategic Command,CAPGEMINI UK PLC,GU21 6DB,622872,IT+Comms Rental Payments,"£1,782,064.17"
Ministry of Defence,Ministry of Defence,11/05/2022,Telecomms + IT non capital,Strategic Command,CGI IT UK LIMITED,CF31 9AP,624266,IT+Comms Rental Payments,"£1,778,249.40"
Ministry of Defence,Ministry of Defence,12/05/2022,Research+Development Expend,Army Command,HORIBA MIRA LIMITED,CV10 0TU,624405,Research+Development Expend,"£1,763,919.00"
Ministry of Defence,Ministry of Defence,12/05/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,624463,Gas,"£1,760,838.55"
Ministry of Defence,Ministry of Defence,26/05/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020084,SUME AUC Capital Additions,"£1,752,758.72"
Ministry of Defence,Ministry of Defence,04/05/2022,Telecomms + IT non capital,Navy Command,CARBON60 LIMITED,HP20 2LA,622730,IT+Comms Rental Payments,"£1,735,101.61"
Ministry of Defence,Ministry of Defence,26/05/2022,Assets under Construction,Strategic Command,AIRBUS DEFENCE AND SPACE LIMITED,NP10 8FZ,627270,Fiscal AUC Capital Additions,"£1,696,088.70"
Ministry of Defence,Ministry of Defence,17/05/2022,P+M General Services,Army Command,EVERETT AVIATION CHARTER LTD,,3209095,P+M General Services,"£1,675,140.85"
Ministry of Defence,Ministry of Defence,06/05/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,623372,Estate+Facilities Mgmnt Servs,"£1,667,125.95"
Ministry of Defence,Ministry of Defence,16/05/2022,P+M General Services,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,625276,P+M General Services,"£1,624,796.96"
Ministry of Defence,Ministry of Defence,03/05/2022,Rental Payments - Transport,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,622273,Rental Payments-Transport-FE,"£1,570,072.28"
Ministry of Defence,Ministry of Defence,03/05/2022,Research+Development Expend,Navy Command,QINETIQ LIMITED,GU14 0LX,622535,Research+Development Expend,"£1,567,333.48"
Ministry of Defence,Ministry of Defence,24/05/2022,Raw Materials + Consumables,Defence Equipment and Support,BP INTERNATIONAL LIMITED,TW16 7BP,2000020071,RMC Oil Fuel & Lubricants,"£1,564,891.87"
Ministry of Defence,Ministry of Defence,19/05/2022,Food + Clothing Consumed,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,626145,Food + Clothing Consumed,"£1,522,314.30"
Ministry of Defence,Ministry of Defence,06/05/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000019922,P+M General Services,"£1,512,679.60"
Ministry of Defence,Ministry of Defence,06/05/2022,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,623229,P+M General Services,"£1,501,079.03"
Ministry of Defence,Ministry of Defence,05/05/2022,Fees for Prof Services,Air Command,PA CONSULTING SERVICES LTD,SG8 6DP,622994,Fees for Other Prof Services,"£1,405,879.20"
Ministry of Defence,Ministry of Defence,18/05/2022,Food + Clothing Consumed,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,625723,Food + Clothing Consumed,"£1,397,433.95"
Ministry of Defence,Ministry of Defence,17/05/2022,P+M General Services,Defence Equipment and Support,HORSTMAN DEFENCE SYSTEMS LTD,BA1 3EX,625438,P+M General Services,"£1,387,602.65"
Ministry of Defence,Ministry of Defence,03/05/2022,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,622538,P+M General Services,"£1,357,805.12"
Ministry of Defence,Ministry of Defence,05/05/2022,Fees for Prof Services,Air Command,CAPGEMINI UK PLC,GU21 6DB,622872,Fees for Other Prof Services,"£1,354,388.46"
Ministry of Defence,Ministry of Defence,12/05/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000019971,P+M General Services,"£1,338,596.73"
Ministry of Defence,Ministry of Defence,11 May 2022,Assets under Construction,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000069321,Fiscal AUC Capital Additions,"£1,301,346.44"
Ministry of Defence,Ministry of Defence,16/05/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000019995,SUME AUC Capital Additions,"£1,295,534.88"
Ministry of Defence,Ministry of Defence,19/05/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020020,P+M General Services,"£1,277,444.01"
Ministry of Defence,Ministry of Defence,04/05/2022,P+M General Services,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,622768,P+M General Services,"£1,274,110.71"
Ministry of Defence,Ministry of Defence,12/05/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,624641,Fiscal AUC Capital Additions,"£1,252,229.24"
Ministry of Defence,Ministry of Defence,18/05/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,G33 6HZ,625621,Fiscal AUC Capital Additions,"£1,237,093.58"
Ministry of Defence,Ministry of Defence,09/05/2022,Assets under Construction,Defence Equipment and Support,THEON SENSORS S.A.,,3209033,SUME AUC Capital Additions,"£1,217,520.00"
Ministry of Defence,Ministry of Defence,18/05/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,GALLIFORD TRY BUILDING 2014 LIMITED,G33 1AP,625542,Fiscal AUC Capital Additions,"£1,200,024.00"
Ministry of Defence,Ministry of Defence,26/05/2022,Telecomms + IT non capital,Navy Command,CARBON60 LIMITED,HP20 2LA,627482,IT+Comms Rental Payments,"£1,187,088.06"
Ministry of Defence,Ministry of Defence,30/05/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020103,SUME AUC Capital Additions,"£1,180,208.41"
Ministry of Defence,Ministry of Defence,18/05/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020009,P+M General Services,"£1,151,014.33"
Ministry of Defence,Ministry of Defence,26/05/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020084,Intangible Cap Additions In Yr,"£1,146,742.40"
Ministry of Defence,Ministry of Defence,24/05/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,626714,Electricity,"£1,136,428.31"
Ministry of Defence,Ministry of Defence,24/05/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020059,P+M General Services,"£1,104,844.36"
Ministry of Defence,Ministry of Defence,16/05/2022,P+M General Services,Army Command,MORSON HUMAN RESOURCES LIMITED,M50 1RD,625178,P+M General Services,"£1,091,905.65"
Ministry of Defence,Ministry of Defence,16/05/2022,Research+Development Expend,Air Command,SIXWORKS LIMITED,GU14 0LX,625139,Research+Development Expend,"£1,074,188.30"
Ministry of Defence,Ministry of Defence,06/05/2022,Fees for Prof Services,Head Office and Corporate Services,INSIGHT DIRECT (U K) LTD,S9 2BU,623360,Fees for Other Prof Services,"£1,067,586.00"
Ministry of Defence,Ministry of Defence,27/05/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY COMMUNITY LIMITED,L19 2PH,627521,Estate+Facilities Mgmnt Servs,"£1,057,702.58"
Ministry of Defence,Ministry of Defence,13/05/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000069376,Estate+Facilities Mgmnt Servs,"£1,056,607.14"
Ministry of Defence,Ministry of Defence,18/05/2022,Assets under Construction,Defence Equipment and Support,THERMOTEKNIX SYSTEMS LIMITED,CB5 9QR,625563,SUME AUC Capital Additions,"£1,040,904.00"
Ministry of Defence,Ministry of Defence,09/05/2022,Fees for Prof Services,Strategic Command,QINETIQ LIMITED,GU14 0LX,623479,PSS Other Tech Support Exc R+D,"£1,036,776.59"
Ministry of Defence,Ministry of Defence,16/05/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,625053,Fiscal AUC Capital Additions,"£1,025,534.08"
Ministry of Defence,Ministry of Defence,10/05/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,623904,P+M General Services,"£1,021,451.08"
Ministry of Defence,Ministry of Defence,06/05/2022,P+M General Services,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000069276,P+M General Services,"£1,021,287.37"
Ministry of Defence,Ministry of Defence,06/05/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,623233,Estate+Facilities Mgmnt Servs,"£1,003,134.86"
Ministry of Defence,Ministry of Defence,10/05/2022,Research+Development Expend,Defence Equipment and Support,RAFAEL ADVANCED DEFENSE SYSTEMS LTD,,3209046,Research+Development Expend,"£1,000,000.01"
Ministry of Defence,Ministry of Defence,12/05/2022,P+M General Services,Defence Equipment and Support,KUEHNE + NAGEL LIMITED,UB11 1FG,624537,P+M General Services,"£995,690.21"
Ministry of Defence,Ministry of Defence,16/05/2022,Rental Payments - Transport,Air Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,625234,Rental Payments-Transport-Oth,"£986,732.20"
Ministry of Defence,Ministry of Defence,26/05/2022,Telecomms + IT non capital,Strategic Command,INSIGHT DIRECT (U K) LTD,S9 2BU,627297,IT+Comms Rental Payments,"£986,210.38"
Ministry of Defence,Ministry of Defence,25/05/2022,Buildings Maintenance,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,626962,Buildings Maintenance,"£974,148.68"
Ministry of Defence,Ministry of Defence,19/05/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,FES SUPPORT SERVICES LIMITED,FK7 8HW,626098,Fiscal AUC Capital Additions,"£971,516.40"
Ministry of Defence,Ministry of Defence,24/05/2022,Heating Oil+Utilities Consumed,Air Command,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,626714,Electricity,"£957,951.93"
Ministry of Defence,Ministry of Defence,18/05/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,KIER CONSTRUCTION LTD,PL6 5DH,625585,Estate+Facilities Mgmnt Servs,"£935,261.34"
