Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total,,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,575716,Estate management,"£342,800.07",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,IRVINGQ LIMITED,CF32 8PL,575882,Equipment support non-project costs,"£217,074.00",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,PO9 1SA,575641,Equipment support non-project costs,"£198,366.00",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Rent and rates,Head Office and Corporate Services,CITY OF WESTMINSTER,SW1E 6QP,575901,Rent buildings - non civil estate property and married quarter property,"£164,388.00",,,
Ministry of Defence,Ministry of Defence,26-Aug-21,Building maintenance and accommodation stores,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,575716,Works - civil estate,"£152,703.56",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,575750,Fiscal asset under construction - capital in year addition,"£123,138.26",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BALFOUR BEATTY CONSTRUCTION LIMITED,NE12 8BU,575884,Works - estate management,"£122,331.44",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Inventory Accruals,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,575649,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£117,765.60",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,BRIGGS EQUIPMENT UK LIMITED,WS11 8XW,575851,Equipment support non-project costs,"£115,612.02",,,
Ministry of Defence,Ministry of Defence,26/08/2021,IT and communication services,Defence Equipment and Support,SIXWORKS LIMITED,GU14 0LX,575722,Information technology services,"£113,861.18",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Fees for professional services,DEFENCE INFRASTRUCTURE ORGANISATION,MOTT MACDONALD LTD,BS1 6FL,575847,Fees for professional services excluding legal fees,"£105,602.15",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,575736,Equipment support non-project costs,"£97,506.58",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,575669,Fiscal asset under construction - capital in year addition,"£85,684.97",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Medical treatment & stores and welfare services,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,575789,Medical inventory and services excluding the inventory system,"£84,445.54",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Research and development,Strategic Command,QINETIQ LIMITED,GU14 0LX,575753,Research and development excluding defence science and technology laboratory,"£84,043.20",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Spend on Inventory - General,Defence Equipment and Support,AMSAFE BRIDPORT LTD,DT6 3QU,575798,Spend on Inventory - General,"£83,995.80",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Externally delivered education and training,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007046,External military training ,"£75,653.40",,,
Ministry of Defence,Ministry of Defence,26/08/2021,General services and support,Army Command,SAAB AB,,3208188,Defence equipment CLS/IOS service charge,"£72,314.00",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007046,Works services - excluding United States forces/NATO + married quarters,"£71,690.85",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,575669,Purchase of medical support equipment excluding that supplied from the inventory system,"£65,393.12",,,
Ministry of Defence,Ministry of Defence,26/08/2021,IT and communication services,DES Bespoke Trading Entity,METHODS ANALYTICS LIMITED,EC1A 4EN,575758,Information technology services,"£61,516.80",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,575750,Estate management,"£59,946.28",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,575716,Works - estate management,"£55,097.51",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Fees for professional services,Army Command,EUROFINS FORENSIC SERVICES LIMITED,TW11 0LY,575760,Fees for professional services excluding legal fees,"£50,197.32",,,
Ministry of Defence,Ministry of Defence,26/08/2021,General services and support,Navy Command,SAAB AB,,3208188,Defence equipment CLS/IOS service charge,"£48,786.00",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Spend on Inventory - General,Defence Equipment and Support,RACAL ACOUSTICS LIMITED,HA1 4TR,575801,Spend on Inventory - General,"£38,579.70",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Fuel for military use,Strategic Command,HELLENIC PETROLEUM CYPRUS LTD,,6000064315,Oil and lubricants consumed excluding those from the inventory system,"£37,777.51",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,LEONARDO UK LTD,BA20 2YB,575654,Equipment support non-project costs,"£36,508.02",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,575862,Estate management,"£36,281.20",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,SAAB AB,,3208188,Post design services which are not capitalised,"£36,020.40",,,
Ministry of Defence,Ministry of Defence,26/08/2021,International contributions,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007049,Defence military assistance fund international subscriptions and other payments,"£35,972.77",,,
Ministry of Defence,Ministry of Defence,26/08/2021,IT and communication services,Navy Command,BYTES SOFTWARE SERVICES LIMITED,KT22 7TW,575824,Computer equipment costing below the capitalisation threshold,"£32,398.85",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Medical treatment & stores and welfare services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007048,Schools + community relations initiatives,"£32,319.60",,,
Ministry of Defence,Ministry of Defence,26/08/2021,IT and communication services,Navy Command,DYNAMA SOLUTIONS LTD,TW9 2QE,575739,Information technology services,"£32,310.01",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Food and clothing,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,575669,Cost of food services,"£30,981.55",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,Air Command,SAFESKYS LTD,HP11 1LT,575821,Estate + facilities management services - accommodation inventory + service,"£30,836.33",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Fuel for military use,Army Command,OIL NRG LTD,TS25 1PW,575745,Cost of ground diesel fuel consumed,"£29,463.12",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Spend on Inventory - General,Defence Equipment and Support,HOBSON INDUSTRIES LIMITED,LN11 9TR,575860,Spend on Inventory - General,"£28,528.32",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MORGAN SINDALL CONSTRUCTION & INFRASTRUCTURE LTD,CV21 2DW,575667,Fiscal asset under construction - capital in year addition,"£26,120.00",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Strategic Command,MITIE (DEFENCE) LIMITED,B70 1DA,575750,Equipment support non-project costs,"£25,859.23",,,
Ministry of Defence,Ministry of Defence,26/08/2021,IT and communication services,Strategic Command,LA FOSSE ASSOCIATES LIMITED,SW1E 5BH,575723,Information technology services,"£25,080.00",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Fuel for military use,Army Command,CERTAS ENERGY UK LIMITED,FK5 4RB,575725,Cost of ground diesel fuel consumed,"£24,654.90",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,TETRA TECH MANAGEMENT SERVICES LIMITED,L2 6RE,575671,Fiscal asset under construction - capital in year addition,"£24,418.00",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,HELLENIC PETROLEUM CYPRUS LTD,,6000064315,Utilities consumed - heating oil,"£23,542.81",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000064310,Estate management,"£22,536.22",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Army Command,SAAB AB,,3208188,Equipment support non-project costs,"£21,008.30",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Medical treatment & stores and welfare services,Defence Equipment and Support,AAH PHARMACEUTICALS LTD,CV2 2TX,575789,Medical inventory and services excluding the inventory system,"£20,569.86",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Transport hire charges,Army Command,BRIGGS EQUIPMENT UK LIMITED,WS11 8XW,575851,Transport other hire charge,"£19,762.90",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Spend on Inventory - General,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,575649,Spend on Inventory - General,"£18,829.90",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Estate management,Army Command,SAFESKYS LTD,HP11 1LT,575821,Estate + facilities management services - accommodation inventory + service,"£18,653.44",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000064311,Equipment support project costs,"£17,276.73",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Spend on Inventory - General,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,575752,Spend on Inventory - General,"£14,515.44",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Fees for professional services,Air Command,EUROFINS FORENSIC SERVICES LIMITED,TW11 0LY,575760,Fees for professional services excluding legal fees,"£14,118.00",,,
Ministry of Defence,Ministry of Defence,26/08/2021,Fees for professional services,Navy Command,EUROFINS FORENSIC SERVICES LIMITED,TW11 0LY,575760,Fees for professional services excluding legal fees,"£14,118.00",,,
Ministry of Defence,Ministry of Defence,26/08/2021,IT and communication services,Army Command,BOXXE LIMITED,YO31 7RE,575699,Computer equipment costing below the capitalisation threshold,"£12,934.61",,,
Ministry of Defence,Ministry of Defence,26/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007049,Military short term detached duty,"£11,377.32",,,
