Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,24/11/2021,Assets under Construction,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,592493,Fiscal AUC Capital Additions,"£6,888,584.88"
Ministry of Defence,Ministry of Defence,10/11/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14620,Monthly GPC Payment,"£6,517,583.47"
Ministry of Defence,Ministry of Defence,26/11/2021,Fuels Non Utilities Consumed,Defence Equipment and Support,COMPANIA ESPANOLA DE PETROLEOS SA,,2000018781,Aviation Fuel Consumed,"£5,930,393.59"
Ministry of Defence,Ministry of Defence,16/11/2021,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,590808,Defence Eqpt Serv Chrge+Off BS,"£5,458,002.46"
Ministry of Defence,Ministry of Defence,26/11/2021,Raw Materials + Consumables,Defence Equipment and Support,COMPANIA ESPANOLA DE PETROLEOS SA,,2000018781,RMC Oil Fuel & Lubricants,"£5,228,978.41"
Ministry of Defence,Ministry of Defence,05/11/2021,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,588896,Water + Sewerage,"£4,905,796.45"
Ministry of Defence,Ministry of Defence,26/11/2021,Fuels Non Utilities Consumed,Defence Equipment and Support,BP Singapore Pte Limited,,2000018791,Aviation Fuel Consumed,"£4,828,682.87"
Ministry of Defence,Ministry of Defence,04/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,588279,Estate+Facilities Mgmnt Servs,"£4,807,846.38"
Ministry of Defence,Ministry of Defence,18/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,591301,Prop NonDw SCA Srv Chrg+Off BS,"£4,630,419.23"
Ministry of Defence,Ministry of Defence,04/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,588261,Prop NonDw SCA Srv Chrg+Off BS,"£4,389,758.97"
Ministry of Defence,Ministry of Defence,17/11/2021,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,591159,Defence Eqpt Serv Chrge+Off BS,"£4,319,007.48"
Ministry of Defence,Ministry of Defence,16/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,590651,Prop NonDw SCA Srv Chrg+Off BS,"£4,131,952.46"
Ministry of Defence,Ministry of Defence,09/11/2021,Telecomms + IT non capital,Strategic Command,CAPGEMINI UK PLC,GU21 6DB,589192,IT+Comms Rental Payments,"£4,086,754.40"
Ministry of Defence,Ministry of Defence,24/11/2021,Assets under Construction,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000018761,SUME AUC Capital Additions,"£4,045,234.30"
Ministry of Defence,Ministry of Defence,12/11/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14628,Monthly GPC Payment,"£3,907,413.92"
Ministry of Defence,Ministry of Defence,22/11/2021,P+M General Services,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000066252,P+M General Services,"£3,822,398.54"
Ministry of Defence,Ministry of Defence,15/11/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,590492,CL MonthEnd Accruals Balance,"£3,447,653.25"
Ministry of Defence,Ministry of Defence,22/11/2021,Intangibles SUME,Defence Nuclear Organisation,BAE SYSTEMS MARINE LTD,LA14 1AF,592071,Intangible Cap Additions In Yr,"£3,320,292.40"
Ministry of Defence,Ministry of Defence,24/11/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,592510,CL MonthEnd Accruals Balance,"£3,287,385.27"
Ministry of Defence,Ministry of Defence,01/11/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,587226,CL MonthEnd Accruals Balance,"£3,263,290.71"
Ministry of Defence,Ministry of Defence,16/11/2021,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000018712,Defence Eqpt Serv Chrge+Off BS,"£3,157,589.46"
Ministry of Defence,Ministry of Defence,26/11/2021,Assets under Construction,Defence Equipment and Support,OCCAR-EA,,3208486,SUME AUC Capital Additions,"£3,068,589.00"
Ministry of Defence,Ministry of Defence,08/11/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,589098,CL MonthEnd Accruals Balance,"£3,038,194.25"
Ministry of Defence,Ministry of Defence,10/11/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,589575,CL MonthEnd Accruals Balance,"£2,958,041.08"
Ministry of Defence,Ministry of Defence,04/11/2021,P+M General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000018628,P+M General Services,"£2,672,995.74"
Ministry of Defence,Ministry of Defence,08/11/2021,Rental Payments - Transport,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,588920,Rental Payments-Transport-Oth,"£2,598,264.00"
Ministry of Defence,Ministry of Defence,04/11/2021,P+M General Services,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,588479,P+M General Services,"£2,559,888.22"
Ministry of Defence,Ministry of Defence,12/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VINCI CONSTRUCTION UK LIMITED,WD24 4WW,590098,Estate+Facilities Mgmnt Servs,"£2,469,087.76"
Ministry of Defence,Ministry of Defence,16/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000066105,Estate+Facilities Mgmnt Servs,"£2,343,175.83"
Ministry of Defence,Ministry of Defence,17/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERFITZPATRICK LIMITED,EN11 9BX,591154,Fiscal AUC Capital Additions,"£2,265,599.75"
Ministry of Defence,Ministry of Defence,11/11/2021,P+M General Services,Strategic Command,MET OFFICE,EX1 3PB,589885,P+M General Services,"£2,214,232.00"
Ministry of Defence,Ministry of Defence,12/11/2021,Assets under Construction,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000018683,SUME AUC Capital Additions,"£2,198,275.84"
Ministry of Defence,Ministry of Defence,16/11/2021,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,590805,Gas,"£2,168,416.89"
Ministry of Defence,Ministry of Defence,22/11/2021,Fin Assets/Long Term Loans,Defence Nuclear Organisation,SHEFFIELD FORGEMASTERS ENGINEERING LIMITED,S9 2RW,592081,Trading Fund PDC Cash Move IY,"£2,135,000.00"
Ministry of Defence,Ministry of Defence,10/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,589432,Estate+Facilities Mgmnt Servs,"£2,117,168.68"
Ministry of Defence,Ministry of Defence,08/11/2021,Rental Payments - Buildings,Army Command,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,589014,Prop NonDw SCA Srv Chrg+Off BS,"£2,100,625.30"
Ministry of Defence,Ministry of Defence,08/11/2021,P+M General Services,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,588925,P+M General Services,"£2,009,152.40"
Ministry of Defence,Ministry of Defence,04/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,588279,Fiscal AUC Capital Additions,"£1,936,626.06"
Ministry of Defence,Ministry of Defence,17/11/2021,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,590939,Gas,"£1,909,750.56"
Ministry of Defence,Ministry of Defence,18/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,PINNACLE HOUSING LIMITED,WC1V 6PL,591448,Estate+Facilities Mgmnt Servs,"£1,892,710.26"
Ministry of Defence,Ministry of Defence,19/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,591491,Estate+Facilities Mgmnt Servs,"£1,862,133.72"
Ministry of Defence,Ministry of Defence,19/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,G33 6HZ,591549,Fiscal AUC Capital Additions,"£1,836,096.86"
Ministry of Defence,Ministry of Defence,15/11/2021,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,590477,Rental Payments-Transport-Oth,"£1,832,007.41"
Ministry of Defence,Ministry of Defence,04/11/2021,Buildings Maintenance,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,588279,Buildings Maintenance,"£1,815,856.13"
Ministry of Defence,Ministry of Defence,26/11/2021,Decom+Restoration Liab Nuclear,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,593090,Decom+Restoration Liab Nuclear,"£1,772,426.02"
Ministry of Defence,Ministry of Defence,19/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,FALCON SUPPORT SERVICES LIMITED,M1 4HB,591669,Prop Dw SCA Serv Chrge+ Off BS,"£1,747,672.23"
Ministry of Defence,Ministry of Defence,29/11/2021,Assets under Construction,Defence Equipment and Support,LEONARDO UK LTD,SS14 3EL,593446,SUME AUC Capital Additions,"£1,735,300.15"
Ministry of Defence,Ministry of Defence,18/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,GALLIFORD TRY BUILDING 2014 LIMITED,G33 1AP,591351,Fiscal AUC Capital Additions,"£1,718,727.60"
Ministry of Defence,Ministry of Defence,19/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,GALLIFORD TRY BUILDING 2014 LIMITED,G33 1AP,591653,Fiscal AUC Capital Additions,"£1,658,693.52"
Ministry of Defence,Ministry of Defence,19/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,591504,Estate+Facilities Mgmnt Servs,"£1,652,223.82"
Ministry of Defence,Ministry of Defence,24/11/2021,Assets under Construction,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,592493,SUME AUC Capital Additions,"£1,604,511.61"
Ministry of Defence,Ministry of Defence,11/11/2021,Assets under Construction,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000066065,Fiscal AUC Capital Additions,"£1,543,928.87"
Ministry of Defence,Ministry of Defence,29/11/2021,Rental Payments - Transport,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,593289,Rental Payments-Transport-FE,"£1,539,104.25"
Ministry of Defence,Ministry of Defence,01/11/2021,Intangibles SUME,Defence Equipment and Support,LEONARDO UK LTD,LU1 3PG,587231,Intangible Cap Additions In Yr,"£1,500,000.00"
Ministry of Defence,Ministry of Defence,03/11/2021,Fees for Prof Services,Strategic Command,KPMG LLP,WD17 1DE,587882,Fees for Other Prof Services,"£1,491,312.00"
Ministry of Defence,Ministry of Defence,05/11/2021,Intangibles Non SUME,Strategic Command,BAE SYSTEMS (OPERATIONS) LIMITED,BH23 4JE,588625,Intangible Cap Additions In Yr,"£1,488,159.00"
Ministry of Defence,Ministry of Defence,17/11/2021,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,591122,Rental Payments-Transport-Oth,"£1,487,912.95"
Ministry of Defence,Ministry of Defence,16/11/2021,Telecomms + IT non capital,Strategic Command,CAPGEMINI UK PLC,GU21 6DB,590861,IT+Comms Rental Payments,"£1,433,683.86"
Ministry of Defence,Ministry of Defence,24/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,VEOLIA WATER NEVIS LIMITED,WS11 8JP,592507,Prop NonDw SCA Srv Chrg+Off BS,"£1,415,484.28"
Ministry of Defence,Ministry of Defence,12/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,590344,Estate+Facilities Mgmnt Servs,"£1,399,259.65"
Ministry of Defence,Ministry of Defence,16/11/2021,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,590693,Rental Payments-Transport-Oth,"£1,390,483.90"
Ministry of Defence,Ministry of Defence,29/11/2021,Decom+Restoration Liab Nuclear,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,593290,Decom+Restoration Liab Nuclear,"£1,362,554.69"
Ministry of Defence,Ministry of Defence,29/11/2021,CL MonthEnd Accruals Balance,Defence Equipment and Support,SAFRAN HELICOPTER ENGINES UK LIMITED,PO15 5RL,6000066394,CL MonthEnd Accruals Balance,"£1,360,841.36"
Ministry of Defence,Ministry of Defence,24/11/2021,Fees for Prof Services,Strategic Command,KPMG LLP,WD17 1DE,592636,Fees for Other Prof Services,"£1,348,236.00"
Ministry of Defence,Ministry of Defence,01/11/2021,Telecomms + IT non capital,Navy Command,CARBON60 LIMITED,HP20 2LA,587254,IT+Comms Rental Payments,"£1,268,679.93"
Ministry of Defence,Ministry of Defence,25/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,DOOSAN BABCOCK LIMITED,PA4 8DJ,592694,Fiscal AUC Capital Additions,"£1,217,838.96"
Ministry of Defence,Ministry of Defence,29/11/2021,P+M General Services,Defence Equipment and Support,ORGANISATION FOR JOINT ARMAMENTS CO-OPERATION EXECUTIVE ADMIN,,6000066396,P+M General Services,"£1,177,403.65"
Ministry of Defence,Ministry of Defence,10/11/2021,Food + Clothing Consumed,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,589575,Food + Clothing Consumed,"£1,133,350.65"
Ministry of Defence,Ministry of Defence,05/11/2021,P+M General Services,Defence Equipment and Support,OCCAR-EA,,6000066008,P+M General Services,"£1,125,266.00"
Ministry of Defence,Ministry of Defence,19/11/2021,P+M General Services,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,591579,P+M General Services,"£1,114,628.58"
Ministry of Defence,Ministry of Defence,04/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,588528,Estate+Facilities Mgmnt Servs,"£1,104,491.95"
Ministry of Defence,Ministry of Defence,16/11/2021,Rental Payments - Transport,Air Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,590693,Rental Payments-Transport-Oth,"£1,100,916.34"
Ministry of Defence,Ministry of Defence,16/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,VEOLIA WATER NEVIS LIMITED,WS11 8JP,590709,Prop NonDw SCA Srv Chrg+Off BS,"£1,090,419.70"
Ministry of Defence,Ministry of Defence,25/11/2021,Telecomms + IT non capital,Army Command,IMMERSIVE LABS LTD,BS1 6AA,592690,IT+Comms Rental Payments,"£1,078,200.00"
Ministry of Defence,Ministry of Defence,26/11/2021,Fees for Prof Services,DEFENCE INFRASTRUCTURE ORGANISATION,GLEEDS ADVISORY LIMITED,W1W 6XF,593061,Fees for Other Prof Services,"£1,067,096.72"
Ministry of Defence,Ministry of Defence,04/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000065986,Estate+Facilities Mgmnt Servs,"£1,057,200.01"
Ministry of Defence,Ministry of Defence,16/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,590720,Estate+Facilities Mgmnt Servs,"£962,987.66"
Ministry of Defence,Ministry of Defence,10/11/2021,Telecomms + IT non capital,Strategic Command,BOXXE LIMITED,YO31 7RE,589387,IT+Comms Rental Payments,"£954,182.29"
Ministry of Defence,Ministry of Defence,01/11/2021,Telecomms + IT non capital,Army Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,587376,IT+Comms Rental Payments,"£943,957.00"
Ministry of Defence,Ministry of Defence,29/11/2021,Telecomms + IT non capital,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,593290,IT+Comms Rental Payments,"£910,252.06"
Ministry of Defence,Ministry of Defence,24/11/2021,Fees for Prof Services,DEFENCE INFRASTRUCTURE ORGANISATION,MOTT MACDONALD LTD,BS1 6FL,592419,Fees for Other Prof Services,"£891,620.40"
Ministry of Defence,Ministry of Defence,03/11/2021,P+M General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,CM2 8HN,588057,P+M General Services,"£891,469.91"
Ministry of Defence,Ministry of Defence,10/11/2021,Fuels Non Utilities Consumed,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,589536,Fuels Non Utilities Consumed,"£890,956.67"
Ministry of Defence,Ministry of Defence,19/11/2021,CL MonthEnd Accruals Balance,Defence Nuclear Organisation,TPG MARITIME LIMITED,PO3 5FP,591656,CL MonthEnd Accruals Balance,"£886,252.01"
Ministry of Defence,Ministry of Defence,08/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,588906,Fiscal AUC Capital Additions,"£868,539.23"
Ministry of Defence,Ministry of Defence,19/11/2021,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000066226,SUME AUC Capital Additions,"£845,441.92"
Ministry of Defence,Ministry of Defence,05/11/2021,Defence Equip General Services,Strategic Command,BAE SYSTEMS (OPERATIONS) LIMITED,BH23 4JE,588625,Defence Eqpt Serv Chrge+Off BS,"£843,197.00"
Ministry of Defence,Ministry of Defence,25/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,592727,Fiscal AUC Capital Additions,"£837,562.18"
Ministry of Defence,Ministry of Defence,09/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,589193,Prop Dw SCA Serv Chrge+ Off BS,"£834,493.86"
Ministry of Defence,Ministry of Defence,11/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,589937,Estate+Facilities Mgmnt Servs,"£826,030.46"
Ministry of Defence,Ministry of Defence,11/11/2021,Assets under Construction,Defence Equipment and Support,LOCKHEED MARTIN UK LIMITED,EC4N 6EU,589826,Fiscal AUC Capital Additions,"£781,538.00"
Ministry of Defence,Ministry of Defence,23/11/2021,Fees for Prof Services,Air Command,PA CONSULTING SERVICES LTD,SG8 6DP,592341,Fees for Other Prof Services,"£781,102.50"
Ministry of Defence,Ministry of Defence,02/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,BALFOUR BEATTY CONSTRUCTION LIMITED,NE12 8BU,587638,Estate+Facilities Mgmnt Servs,"£774,988.78"
Ministry of Defence,Ministry of Defence,09/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,PINNACLE HOUSING LIMITED,WC1V 6PL,589281,Estate+Facilities Mgmnt Servs,"£766,060.82"
Ministry of Defence,Ministry of Defence,19/11/2021,P+M General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,6000066216,P+M General Services,"£744,119.38"
Ministry of Defence,Ministry of Defence,16/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERSTEVIN LIMITED,PR2 5PE,590732,Fiscal AUC Capital Additions,"£740,893.82"
Ministry of Defence,Ministry of Defence,17/11/2021,P+M General Services,Air Command,SERCO LIMITED,RG27 9UY,590979,P+M General Services,"£734,782.80"
Ministry of Defence,Ministry of Defence,19/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ROBERTSON CONSTRUCTION GROUP LIMITED,IV30 6AE,591516,Fiscal AUC Capital Additions,"£707,037.82"
Ministry of Defence,Ministry of Defence,04/11/2021,P+M General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO1 9NW,588497,P+M General Services,"£699,520.00"
Ministry of Defence,Ministry of Defence,19/11/2021,Telecomms + IT non capital,Army Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,591722,IT+Comms Rental Payments,"£695,515.24"
Ministry of Defence,Ministry of Defence,24/11/2021,Telecomms + IT non capital,DEFENCE INFRASTRUCTURE ORGANISATION,MACS EU LIMITED,UB8 2FX,592375,IT+Comms Rental Payments,"£688,501.60"
Ministry of Defence,Ministry of Defence,16/11/2021,Rental Payments - Transport,Navy Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,590693,Rental Payments-Transport-Oth,"£680,115.58"
Ministry of Defence,Ministry of Defence,18/11/2021,CL MonthEnd Accruals Balance,Defence Nuclear Organisation,TPG MARITIME LIMITED,PO3 5FP,591361,CL MonthEnd Accruals Balance,"£660,360.00"
Ministry of Defence,Ministry of Defence,25/11/2021,P+M General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO31 8PF,592751,P+M General Services,"£656,120.00"
Ministry of Defence,Ministry of Defence,17/11/2021,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,TRICOMM HOUSING LIMITED,NE1 4JE,590970,Prop Dw SCA Serv Chrge+ Off BS,"£653,474.87"
Ministry of Defence,Ministry of Defence,08/11/2021,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,14612,Monthly GPC Payment,"£646,742.97"
Ministry of Defence,Ministry of Defence,18/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,GALLIFORD TRY CONSTRUCTION LIMITED,UB8 2AL,591436,Fiscal AUC Capital Additions,"£646,569.65"
Ministry of Defence,Ministry of Defence,23/11/2021,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,592220,SUME AUC Capital Additions,"£642,811.90"
Ministry of Defence,Ministry of Defence,16/11/2021,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ATKINS LIMITED,SW1E 5BY,590736,Fiscal AUC Capital Additions,"£638,411.82"
Ministry of Defence,Ministry of Defence,16/11/2021,Heating Oil+Utilities Consumed,Navy Command,EDF ENERGY CUSTOMERS LIMITED,SW1X 7EN,590882,Electricity,"£636,067.20"
Ministry of Defence,Ministry of Defence,01/11/2021,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,587483,P+M General Services,"£630,538.02"
Ministry of Defence,Ministry of Defence,25/11/2021,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,KIER CONSTRUCTION LTD,CB25 9PD,592773,Estate+Facilities Mgmnt Servs,"£606,921.15"
