Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total,,
Ministry of Defence,Ministry of Defence,27/09/2022,P+M General Services,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,648230,P+M General Services,"£8,335,480.05",,
Ministry of Defence,Ministry of Defence,16/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,646733,CL MonthEnd Accruals Balance,"£8,312,491.96",,
Ministry of Defence,Ministry of Defence,29/09/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021004,Intangible Cap Additions In Yr,"£8,184,528.27",,
Ministry of Defence,Ministry of Defence,29/09/2022,Telecomms + IT non capital,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,648800,IT+Comms Rental Payments,"£7,581,193.29",,
Ministry of Defence,Ministry of Defence,22/09/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7UT,647633,Prop Dw SCA Serv Chrge+ Off BS,"£7,575,085.50",,
Ministry of Defence,Ministry of Defence,28/09/2022,Assets under Construction,Defence Equipment and Support,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2000021000,SUME AUC Capital Additions,"£7,256,118.12",,
Ministry of Defence,Ministry of Defence,29/09/2022,Raw Materials + Consumables,Defence Equipment and Support,COMPANIA ESPANOLA DE PETROLEOS SA,,2000021006,RMC Oil Fuel & Lubricants,"£6,504,662.29",,
Ministry of Defence,Ministry of Defence,09/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,AARON SERVICES LIMITED,IP8 4JU,645455,Fiscal AUC Capital Additions,"£6,499,980.12",,
Ministry of Defence,Ministry of Defence,15/09/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17118,Monthly GPC Payment,"£6,462,875.93",,
Ministry of Defence,Ministry of Defence,29/09/2022,Assets under Construction,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021004,SUME AUC Capital Additions,"£5,816,880.12",,
Ministry of Defence,Ministry of Defence,28/09/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,648704,P+M General Services,"£5,534,745.53",,
Ministry of Defence,Ministry of Defence,15/09/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,646426,Defence Eqpt Serv Chrge+Off BS,"£5,474,844.05",,
Ministry of Defence,Ministry of Defence,20/09/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020926,P+M General Services,"£5,331,616.10",,
Ministry of Defence,Ministry of Defence,29/09/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,648791,SUME AUC Capital Additions,"£5,104,632.87",,
Ministry of Defence,Ministry of Defence,14/09/2022,Raw Materials + Consumables,Defence Equipment and Support,MOTOR OIL (HELLAS) CORINTH REFINERIES S.A,,2000020901,RMC Oil Fuel & Lubricants,"£5,078,206.67",,
Ministry of Defence,Ministry of Defence,05/09/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,TOTALENERGIES GAS & POWER LIMITED,RH1 1RX,644623,Gas,"£5,034,484.35",,
Ministry of Defence,Ministry of Defence,15/09/2022,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,,17120,Monthly GPC Payment,"£4,936,443.18",,
Ministry of Defence,Ministry of Defence,01/09/2022,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,643732,Defence Eqpt Serv Chrge+Off BS,"£4,830,340.00",,
Ministry of Defence,Ministry of Defence,15/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,646389,CL MonthEnd Accruals Balance,"£4,423,595.19",,
Ministry of Defence,Ministry of Defence,29/09/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000021004,P+M General Services,"£4,309,287.69",,
Ministry of Defence,Ministry of Defence,02/09/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,644348,Prop NonDw SCA Srv Chrg+Off BS,"£4,120,168.01",,
Ministry of Defence,Ministry of Defence,23/09/2022,Intangibles SUME,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020967,Intangible Cap Additions In Yr,"£4,004,275.46",,
Ministry of Defence,Ministry of Defence,15/09/2022,Intangibles SUME,Defence Equipment and Support,ATLAS ELEKTRONIK UK LIMITED,DT2 8ZB,646557,Intangible Cap Additions In Yr,"£3,821,102.65",,
Ministry of Defence,Ministry of Defence,27/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,648376,CL MonthEnd Accruals Balance,"£3,797,219.35",,
Ministry of Defence,Ministry of Defence,27/09/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020987,P+M General Services,"£3,662,888.62",,
Ministry of Defence,Ministry of Defence,16/09/2022,P+M General Services,Defence Equipment and Support,UNITED STATES GOVERNMENT,BS34 8JH,2000020922,P+M General Services,"£3,546,379.61",,
Ministry of Defence,Ministry of Defence,20/09/2022,Raw Materials + Consumables,Defence Equipment and Support,BP INTERNATIONAL LIMITED,TW16 7BP,2000020939,RMC Oil Fuel & Lubricants,"£3,404,485.76",,
Ministry of Defence,Ministry of Defence,15/09/2022,Defence Equip General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,2000020907,Defence Eqpt Serv Chrge+Off BS,"£3,250,464.02",,
Ministry of Defence,Ministry of Defence,20/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,646933,CL MonthEnd Accruals Balance,"£3,201,802.25",,
Ministry of Defence,Ministry of Defence,05/09/2022,Assets under Construction,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000071607,Fiscal AUC Capital Additions,"£3,048,449.37",,
Ministry of Defence,Ministry of Defence,23/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ROBERTSON CONSTRUCTION GROUP LIMITED,IV30 6AE,647783,Fiscal AUC Capital Additions,"£2,863,839.48",,
Ministry of Defence,Ministry of Defence,26/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,648064,Fiscal AUC Capital Additions,"£2,808,938.52",,
Ministry of Defence,Ministry of Defence,07/09/2022,Rental Payments - Transport,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,644962,Rental Payments-Transport-Oth,"£2,684,256.00",,
Ministry of Defence,Ministry of Defence,21/09/2022,Assets under Construction,Air Command,SURREY SATELLITE TECHNOLOGY LTD,GU2 7YE,647397,Fiscal AUC Capital Additions,"£2,640,865.20",,
Ministry of Defence,Ministry of Defence,15/09/2022,P+M General Services,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,646355,P+M General Services,"£2,581,108.40",,
Ministry of Defence,Ministry of Defence,26/09/2022,Assets under Construction,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,648020,SUME AUC Capital Additions,"£2,557,866.00",,
Ministry of Defence,Ministry of Defence,08/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,645133,Estate+Facilities Mgmnt Servs,"£2,556,737.71",,
Ministry of Defence,Ministry of Defence,05/09/2022,Rental Payments - Buildings,Army Command,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,644518,Prop NonDw SCA Srv Chrg+Off BS,"£2,537,420.48",,
Ministry of Defence,Ministry of Defence,15/09/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,2000020907,P+M General Services,"£2,457,391.54",,
Ministry of Defence,Ministry of Defence,26/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,647974,Estate+Facilities Mgmnt Servs,"£2,413,768.48",,
Ministry of Defence,Ministry of Defence,27/09/2022,Research+Development Expend,Defence Equipment and Support,RAFAEL ADVANCED DEFENSE SYSTEMS LTD,,3209534,Research+Development Expend,"£2,378,545.20",,
Ministry of Defence,Ministry of Defence,07/09/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,2000020843,P+M General Services,"£2,363,018.09",,
Ministry of Defence,Ministry of Defence,12/09/2022,P+M General Services,Strategic Command,MET OFFICE,EX1 3PB,645671,P+M General Services,"£2,340,468.00",,
Ministry of Defence,Ministry of Defence,28/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000072224,Estate+Facilities Mgmnt Servs,"£2,328,124.34",,
Ministry of Defence,Ministry of Defence,15/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,PINNACLE HOUSING LIMITED,WC1V 6PL,646221,Estate+Facilities Mgmnt Servs,"£2,161,513.25",,
Ministry of Defence,Ministry of Defence,14/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,SKANSKA CONSTRUCTION UK LIMITED,WD3 9AS,646205,Fiscal AUC Capital Additions,"£2,141,183.68",,
Ministry of Defence,Ministry of Defence,21/09/2022,Fuels Non Utilities Consumed,Strategic Command,FORELAND SHIPPING LTD,EC3A 7BT,647160,Fuels Non Utilities Consumed,"£2,113,961.02",,
Ministry of Defence,Ministry of Defence,01/09/2022,Research+Development Expend,Defence Equipment and Support,ROSYTH ROYAL DOCKYARD LTD,KY11 2YD,643901,Research+Development Expend,"£2,100,000.00",,
Ministry of Defence,Ministry of Defence,01/09/2022,Research+Development Expend,Defence Equipment and Support,LARSEN & TOUBRO LIMITED,,3209436,Research+Development Expend,"£2,100,000.00",,
Ministry of Defence,Ministry of Defence,01/09/2022,Research+Development Expend,Defence Equipment and Support,NAVANTIA SA SME,,3209437,Research+Development Expend,"£2,100,000.00",,
Ministry of Defence,Ministry of Defence,14/09/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 OXN,2000020899,SUME AUC Capital Additions,"£2,086,717.22",,
Ministry of Defence,Ministry of Defence,27/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,648278,Estate+Facilities Mgmnt Servs,"£2,070,522.98",,
Ministry of Defence,Ministry of Defence,26/09/2022,Capital Spares,Defence Equipment and Support,BRIGANTES CONSULTING LIMITED,EX1 1AP,648131,CS Engineering + Technical,"£2,046,960.00",,
Ministry of Defence,Ministry of Defence,15/09/2022,External Education + Training,Air Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,646338,External Training Mil.,"£2,037,105.56",,
Ministry of Defence,Ministry of Defence,07/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,644982,Estate+Facilities Mgmnt Servs,"£1,994,569.32",,
Ministry of Defence,Ministry of Defence,21/09/2022,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,647384,Rental Payments-Transport-Oth,"£1,924,494.31",,
Ministry of Defence,Ministry of Defence,23/09/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,FALCON SUPPORT SERVICES LIMITED,M1 4HB,647841,Prop Dw SCA Serv Chrge+ Off BS,"£1,881,984.70",,
Ministry of Defence,Ministry of Defence,16 Sep 2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,6000071810,SUME AUC Capital Additions,"£1,834,845.45",,
Ministry of Defence,Ministry of Defence,15/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,WILLMOTT DIXON CONSTRUCTION LIMITED,SG6 4GY,646323,Fiscal AUC Capital Additions,"£1,828,018.80",,
Ministry of Defence,Ministry of Defence,02/09/2022,Telecomms + IT non capital,Strategic Command,CGI IT UK LIMITED,CF31 9AP,644416,IT+Comms Rental Payments,"£1,782,184.98",,
Ministry of Defence,Ministry of Defence,07/09/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,645034,P+M General Services,"£1,731,206.70",,
Ministry of Defence,Ministry of Defence,21/09/2022,Intangibles Non SUME,Strategic Command,COGNIZANT WORLDWIDE LIMITED,W2 6BD,647232,Intangible Cap Additions In Yr,"£1,700,000.00",,
Ministry of Defence,Ministry of Defence,27/09/2022,Decom+Restoration Liab Nuclear,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,648230,Decom+Restoration Liab Nuclear,"£1,670,427.82",,
Ministry of Defence,Ministry of Defence,26/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,Kier Graham Defence Limited,G33 6HZ,647977,Fiscal AUC Capital Additions,"£1,664,121.41",,
Ministry of Defence,Ministry of Defence,28/09/2022,Rental Payments - Transport,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,648660,Rental Payments-Transport-FE,"£1,630,544.11",,
Ministry of Defence,Ministry of Defence,02/09/2022,Rental Payments - Transport,Air Command,BABCOCK AEROSPACE LIMITED,BH23 6BS,644054,Rental Payments-Transport-FE,"£1,622,781.77",,
Ministry of Defence,Ministry of Defence,26/09/2022,Telecomms + IT non capital,Strategic Command,CAPGEMINI UK PLC,GU21 6DB,648075,IT+Comms Rental Payments,"£1,599,304.00",,
Ministry of Defence,Ministry of Defence,26/09/2022,P+M General Services,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,648184,P+M General Services,"£1,589,549.00",,
Ministry of Defence,Ministry of Defence,23/09/2022,Assets under Construction,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,647744,SUME AUC Capital Additions,"£1,496,017.45",,
Ministry of Defence,Ministry of Defence,27/09/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,VEOLIA WATER NEVIS LIMITED,WS11 8JP,648260,Prop NonDw SCA Srv Chrg+Off BS,"£1,471,412.58",,
Ministry of Defence,Ministry of Defence,20/09/2022,Fees for Prof Services,Head Office and Corporate Services,ERNST & YOUNG LLP,SE1 2AF,646907,Fees for Other Prof Services,"£1,449,231.80",,
Ministry of Defence,Ministry of Defence,28/09/2022,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,648591,Defence Eqpt Serv Chrge+Off BS,"£1,445,901.00",,
Ministry of Defence,Ministry of Defence,08/09/2022,P+M General Services,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,645191,P+M General Services,"£1,412,741.07",,
Ministry of Defence,Ministry of Defence,20/09/2022,Defence Equip General Services,Defence Equipment and Support,BAE SYSTEMS (OPERATIONS) LIMITED,PR4 1AX,646925,Defence Eqpt Serv Chrge+Off BS,"£1,409,843.00",,
Ministry of Defence,Ministry of Defence,02/09/2022,Telecomms + IT non capital,Strategic Command,CAPGEMINI UK PLC,GU21 6DB,644151,IT+Comms Rental Payments,"£1,399,548.00",,
Ministry of Defence,Ministry of Defence,12/09/2022,P+M General Services,Defence Equipment and Support,OCCAR-EA,,6000071729,P+M General Services,"£1,358,519.86",,
Ministry of Defence,Ministry of Defence,22/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,6000072045,CL MonthEnd Accruals Balance,"£1,342,017.93",,
Ministry of Defence,Ministry of Defence,22/09/2022,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,647614,Rental Payments-Transport-Oth,"£1,293,893.24",,
Ministry of Defence,Ministry of Defence,01/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VINCI CONSTRUCTION UK LIMITED,WD24 4WW,643879,Estate+Facilities Mgmnt Servs,"£1,292,958.67",,
Ministry of Defence,Ministry of Defence,07/09/2022,P+M General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,645006,P+M General Services,"£1,264,558.00",,
Ministry of Defence,Ministry of Defence,14/09/2022,P+M General Services,Defence Equipment and Support,BOEING DEFENCE UK LTD,BS16 1EJ,646156,P+M General Services,"£1,242,235.00",,
Ministry of Defence,Ministry of Defence,27/09/2022,Telecomms + IT non capital,Defence Nuclear Organisation,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,648230,IT+Comms Rental Payments,"£1,238,927.89",,
Ministry of Defence,Ministry of Defence,08/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,ATKINS LIMITED,SW1E 5BY,645322,Fiscal AUC Capital Additions,"£1,203,421.18",,
Ministry of Defence,Ministry of Defence,16/09/2022,Food + Clothing Consumed,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,646733,Food + Clothing Consumed,"£1,178,752.79",,
Ministry of Defence,Ministry of Defence,26/09/2022,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,648097,Rental Payments-Transport-Oth,"£1,174,865.02",,
Ministry of Defence,Ministry of Defence,15/09/2022,P+M General Services,Head Office and Corporate Services,AXON PUBLIC SAFETY UK LIMITED,NN11 8QT,646408,P+M General Services,"£1,133,916.00",,
Ministry of Defence,Ministry of Defence,22/09/2022,P+M General Services,Air Command,FR AVIATION LIMITED,BH23 6NE,647653,P+M General Services,"£1,131,344.07",,
Ministry of Defence,Ministry of Defence,15/09/2022,Food + Clothing Consumed,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,646389,Food + Clothing Consumed,"£1,097,853.62",,
Ministry of Defence,Ministry of Defence,22/09/2022,Rental Payments - Transport,Air Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,647614,Rental Payments-Transport-Oth,"£1,075,382.08",,
Ministry of Defence,Ministry of Defence,06/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000071634,Estate+Facilities Mgmnt Servs,"£1,066,707.46",,
Ministry of Defence,Ministry of Defence,15/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY COMMUNITY LIMITED,L19 2PH,646313,Estate+Facilities Mgmnt Servs,"£1,057,702.58",,
Ministry of Defence,Ministry of Defence,23/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,647785,Estate+Facilities Mgmnt Servs,"£1,040,147.33",,
Ministry of Defence,Ministry of Defence,01/09/2022,P+M General Services,Defence Equipment and Support,QINETIQ LIMITED,GU14 0LX,643810,P+M General Services,"£1,025,968.80",,
Ministry of Defence,Ministry of Defence,07/09/2022,P+M General Services,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,CM2 8HN,644973,P+M General Services,"£999,174.20",,
Ministry of Defence,Ministry of Defence,21/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,647158,Estate+Facilities Mgmnt Servs,"£987,062.35",,
Ministry of Defence,Ministry of Defence,20/09/2022,Fees for Prof Services,Head Office and Corporate Services,DELOITTE LLP,EC4A 2BZ,646973,Fees for Other Prof Services,"£969,030.00",,
Ministry of Defence,Ministry of Defence,09/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000071687,Fiscal AUC Capital Additions,"£959,114.19",,
Ministry of Defence,Ministry of Defence,16/09/2022,Intangibles SUME,Defence Equipment and Support,RAYTHEON SYSTEMS LIMITED,CM17 9NA,646754,Intangible Cap Additions In Yr,"£944,814.00",,
Ministry of Defence,Ministry of Defence,26/09/2022,Capital Spares,Defence Equipment and Support,THERMOTEKNIX SYSTEMS LIMITED,CB25 9QR,647985,CS Engineering + Technical,"£938,252.30",,
Ministry of Defence,Ministry of Defence,02/09/2022,Fees for Prof Services,Head Office and Corporate Services,IBM UNITED KINGDOM LIMITED,SO21 2JN,644086,Fees for Other Prof Services,"£931,689.02",,
Ministry of Defence,Ministry of Defence,15/09/2022,P+M General Services,Defence Equipment and Support,ROLLS-ROYCE PLC,BS34 7QE,646422,P+M General Services,"£930,502.00",,
Ministry of Defence,Ministry of Defence,20 Sep 2022,Assets under Construction,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,646959,SUME AUC Capital Additions,"£925,000.00",,
Ministry of Defence,Ministry of Defence,02/09/2022,Research+Development Expend,Navy Command,QINETIQ LIMITED,GU14 0LX,643970,Research+Development Expend,"£907,732.80",,
Ministry of Defence,Ministry of Defence,22/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,ANCALA WATER SERVICES (ESTATES) LIMITED,S75 3JR,647487,Estate+Facilities Mgmnt Servs,"£900,546.95",,
Ministry of Defence,Ministry of Defence,28/09/2022,Assets under Construction,Defence Equipment and Support,BABCOCK SUPPORT SERVICES LIMITED,PO6 3EN,648712,Fiscal AUC Capital Additions,"£893,966.58",,
Ministry of Defence,Ministry of Defence,01/09/2022,Telecomms + IT non capital,Strategic Command,BOXXE LIMITED,YO31 7RE,643864,IT+Comms Rental Payments,"£885,103.83",,
Ministry of Defence,Ministry of Defence,22/09/2022,Telecomms + IT non capital,Strategic Command,ENTERPRISE SERVICES DEFENCE AND SECURITY UK LIMITED,GU11 1PZ,647643,IT+Comms Rental Payments,"£870,757.39",,
Ministry of Defence,Ministry of Defence,12/09/2022,Research+Development Expend,Army Command,ROKE MANOR RESEARCH LTD,SO51 0ZN,645705,Research+Development Expend,"£863,221.73",,
Ministry of Defence,Ministry of Defence,26/09/2022,Telecomms + IT non capital,Strategic Command,BOXXE LIMITED,YO31 7RE,647996,IT+Comms Rental Payments,"£861,318.80",,
Ministry of Defence,Ministry of Defence,20/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,647061,Estate+Facilities Mgmnt Servs,"£859,830.17",,
Ministry of Defence,Ministry of Defence,08/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,GALLIFORD TRY BUILDING 2014 LIMITED,G33 1AP,645312,Fiscal AUC Capital Additions,"£855,384.00",,
Ministry of Defence,Ministry of Defence,29/09/2022,Rental Payments - Transport,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,648827,Rental Payments-Transport-Oth,"£853,797.50",,
Ministry of Defence,Ministry of Defence,26/09/2022,P+M General Services,Defence Equipment and Support,HAYS SHIPS LIMITED,AB12 4QL,648068,P+M General Services,"£823,153.00",,
