Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Jun. Transparency 11,25/06/2021,DIG BPDTS SSA,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBPD000160,BPDTS LTD,"£5,895,308"
Jun. Transparency 12,25/06/2021,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,20066,CAPITA BUSINESS SERVICES LTD,"£4,827,936"
Jun. Transparency 13,29/06/2021,EP CEP PHASE 2 NEA NB CPA04 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140217,SHAW TRUST,"£4,429,769"
Jun. Transparency 14,01/06/2021,EP CEP PHASE 2 NEA NB CPA04 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139123,SHAW TRUST,"£3,928,036"
Jun. Transparency 15,29/06/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140243,REED IN PARTNERSHIP LTD,"£3,856,211"
Jun. Transparency 16,25/06/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91773520,SERCO LTD,"£3,447,359"
Jun. Transparency 17,09/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,FACMI053111,MITIE FM LTD,"£3,090,652"
Jun. Transparency 18,25/06/2021,OPS WDC WSD DEL PROG REPORTING,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2349018,ALEXANDER MANN SOLUTIONS LTD,"£2,961,767"
Jun. Transparency 19,29/06/2021,STR STRATEGY & PROJECTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2353499,ALEXANDER MANN SOLUTIONS LTD,"£2,929,557"
Jun. Transparency 20,15/06/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2344638,ALEXANDER MANN SOLUTIONS LTD,"£2,783,312"
Jun. Transparency 21,01/06/2021,EP CEP WHP JETS DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139122,THE PLUSS ORGANISATION,"£2,775,972"
Jun. Transparency 22,29/06/2021,EP CEP WHP JETS DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140216,THE PLUSS ORGANISATION,"£2,775,972"
Jun. Transparency 23,10/06/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91771063,SERCO LTD,"£2,576,126"
Jun. Transparency 24,02/06/2021,STR STRATEGY & PROJECTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2334685,ALEXANDER MANN SOLUTIONS LTD,"£2,474,820"
Jun. Transparency 25,22/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,FACMI053047,MITIE FM LTD ,"£2,245,334"
Jun. Transparency 26,01/06/2021,EP CEP WHP JETS DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139110,REED IN PARTNERSHIP LTD,"£2,226,280"
Jun. Transparency 27,09/06/2021,STR STRATEGY & PROJECTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2340386,ALEXANDER MANN SOLUTIONS LTD,"£2,086,090"
Jun. Transparency 28,03/06/2021,FG CD CORPORATE CHARGES,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,7344450,UK MAIL,"£2,021,706"
Jun. Transparency 29,16/06/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,129696,WATES CONSTRUCTION LTD,"£1,918,288"
Jun. Transparency 30,25/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,18415820A,VODAFONE LTD,"£1,904,413"
Jun. Transparency 31,24/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,INVCA00003394,INSTANT MANAGED OFFICES,"£1,855,481"
Jun. Transparency 32,11/06/2021,STR FAS PAYMENTS AME,AI - UTILISATION OF PROVISIONS - SOCIAL ASSISTANCE BENEFITS - FAS NON ASSET (9),P173-FASASSISTANCE-Q1DRAWDOWN-JUN21,PENSION PROTECTION FUND,"£1,825,000"
Jun. Transparency 33,28/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,II9706824,NG BAILEY FACILITIES SERVICES LTD ,"£1,790,193"
Jun. Transparency 34,01/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ELECTRICITY,000009766589,EDF ENERGY 1 LTD SCC UTILITIES ONLY,"£1,611,851"
Jun. Transparency 35,22/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,18345640B,VODAFONE LTD,"£1,601,244"
Jun. Transparency 36,11/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ELECTRICITY,000009890373,EDF ENERGY 1 LTD SCC UTILITIES ONLY,"£1,568,813"
Jun. Transparency 37,03/06/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139345,CAPITA BUSINESS SERVICES LTD,"£1,540,018"
Jun. Transparency 38,28/06/2021,HR SHARED SERVICES,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023920,SHARED SERVICES CONNECTED LTD,"£1,525,156"
Jun. Transparency 39,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210906,INSTANT MANAGED OFFICES,"£1,442,862"
Jun. Transparency 40,29/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210923,INSTANT MANAGED OFFICES,"£1,275,426"
Jun. Transparency 41,15/06/2021,STR THE PENSIONS OMBUDSMAN NON BUDGET A,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPO,P177-TPO-GIA-JUN21-&-JUL21,THE PENSIONS OMBUDSMAN,"£1,266,000"
Jun. Transparency 42,29/06/2021,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140215,THE PLUSS ORGANISATION,"£1,242,505"
Jun. Transparency 43,24/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,INVCA00003393,INSTANT MANAGED OFFICES,"£1,157,312"
Jun. Transparency 44,28/06/2021,EP CEP WHP JETS DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140240,INGEUS UK LTD,"£1,154,391"
Jun. Transparency 45,04/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210817,INSTANT MANAGED OFFICES,"£1,125,619"
Jun. Transparency 46,07/06/2021,STR PRIVATE PENS DIRECTOR & SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,DRMMay21m,ROYAL MAIL GROUP PLC,"£1,121,764"
Jun. Transparency 47,30/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01577-3,ISG FIT OUT LTD,"£1,081,814"
Jun. Transparency 48,28/06/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140233,CAPITA BUSINESS SERVICES LTD,"£1,079,640"
Jun. Transparency 49,30/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01561-3,ISG FIT OUT LTD,"£1,076,919"
Jun. Transparency 50,30/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S16P00328/CL/21Q01/21,WAYS TO WORK ESF 1420,"£1,068,163"
Jun. Transparency 51,30/06/2021,FG FIN CONT SHARED SERVICES CORE COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,100023921,SHARED SERVICES CONNECTED LTD,"£1,039,027"
Jun. Transparency 52,07/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210810,INSTANT MANAGED OFFICES,"£1,035,423"
Jun. Transparency 53,10/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,566580,BT GLOBAL SERVICE SOLUTIONS,"£1,024,218"
Jun. Transparency 54,21/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210908,INSTANT MANAGED OFFICES,"£1,018,814"
Jun. Transparency 55,21/06/2021,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,3807506,CABINET OFFICE,"£984,299"
Jun. Transparency 56,09/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584363638,ATOS IT SERVICES UK LTD,"£944,133"
Jun. Transparency 57,01/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584363838,ATOS IT SERVICES UK LTD,"£913,515"
Jun. Transparency 58,15/06/2021,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210821,INSTANT MANAGED OFFICES,"£905,089"
Jun. Transparency 59,29/06/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140177,REED IN PARTNERSHIP LTD,"£887,427"
Jun. Transparency 60,30/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,00002095-210919,INSTANT MANAGED OFFICES,"£866,252"
Jun. Transparency 61,30/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584365858,ATOS ORIGIN IT SERVICES UK LTD,"£860,409"
Jun. Transparency 62,01/06/2021,DIG DW AND DSP PLATFORM RUN,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001835079,DELOITTE LLP,"£855,866"
Jun. Transparency 63,25/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584365105,ATOS ORIGIN IT SERVICES UK LTD,"£852,754"
Jun. Transparency 64,04/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210814,INSTANT MANAGED OFFICES,"£832,573"
Jun. Transparency 65,04/06/2021,DIG DFCNI OGD,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT SCANNING,1800093907,ENGIE SERVICES LTD,"£823,165"
Jun. Transparency 66,03/06/2021,WWEG CEP JOB FINDING SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139302,SERCO LTD,"£812,703"
Jun. Transparency 67,21/06/2021,WWEG CEP JOB FINDING SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139961,SERCO LTD,"£812,703"
Jun. Transparency 68,24/06/2021,DIG SURVEYS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,2745049,OFFICE FOR NATIONAL STATISTICS,"£804,812"
Jun. Transparency 69,23/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210917,INSTANT MANAGED OFFICES,"£794,014"
Jun. Transparency 70,01/06/2021,FG FSC POCA,EXP - PURCHASE OF GOODS/SERVICES - OTHER - POST OFFICE CARD ACCOUNT,1000/90057929,POST OFFICE LTD,"£774,318"
Jun. Transparency 71,11/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210822,INSTANT MANAGED OFFICES,"£769,300"
Jun. Transparency 72,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210904,INSTANT MANAGED OFFICES,"£764,823"
Jun. Transparency 73,23/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210916,INSTANT MANAGED OFFICES,"£754,138"
Jun. Transparency 74,02/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S19P03465/CL/21Q01/07,EMPLOYMENT HUB,"£753,747"
Jun. Transparency 75,28/06/2021,EP CEP WHP JETS DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140236,REMPLOY LTD,"£748,107"
Jun. Transparency 76,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S17C01880/CL/21Q01/29,THE BIG LOTTERY FUND,"£746,555"
Jun. Transparency 77,23/06/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140067,REED IN PARTNERSHIP LTD,"£745,838"
Jun. Transparency 78,04/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210813,INSTANT MANAGED OFFICES,"£745,294"
Jun. Transparency 79,14/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S16P00061/CL/21Q01/23,ESF BIRMINGHAM & SOLIHULL YOUTH PROMISE PLUS,"£739,353"
Jun. Transparency 80,30/06/2021,DIG DW AND DSP PLATFORM RUN,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001904440,DELOITTE LLP,"£739,215"
Jun. Transparency 81,02/06/2021,HR CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023569,SHARED SERVICES CONNECTED LTD,"£727,516"
Jun. Transparency 82,30/06/2021,FG FSC POCA,EXP - PURCHASE OF GOODS/SERVICES - OTHER - POST OFFICE CARD ACCOUNT,1000/90058114,POST OFFICE LTD,"£717,377"
Jun. Transparency 83,04/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210816,INSTANT MANAGED OFFICES,"£695,722"
Jun. Transparency 84,30/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01582-3,ISG FIT OUT LTD,"£683,591"
Jun. Transparency 85,01/06/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001837870,DELOITTE LLP,"£679,790"
Jun. Transparency 86,16/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,01S17C01907/CL/21Q01/29,THE BIG LOTTERY FUND,"£652,509"
Jun. Transparency 87,15/06/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110279887,CAPGEMINI UK PLC,"£627,455"
Jun. Transparency 88,04/06/2021,FG HDD MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - VALUATION OFFICE,18000000402021,VALUATION OFFICE AGENCY,"£616,901"
Jun. Transparency 89,09/06/2021,FG HDD MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - VALUATION OFFICE,18000000802021,VALUATION OFFICE AGENCY,"£616,901"
Jun. Transparency 90,16/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S17C01926/CL/21Q01/29,THE BIG LOTTERY FUND,"£610,831"
Jun. Transparency 91,16/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S17C01919/CL/21Q01/29,THE BIG LOTTERY FUND,"£607,605"
Jun. Transparency 92,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,21S17C01921/CL/21Q01/29,THE BIG LOTTERY FUND,"£585,243"
Jun. Transparency 93,28/06/2021,EP CEP WHP DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140234,REMPLOY LTD,"£580,638"
Jun. Transparency 94,28/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01576-3,ISG FIT OUT LTD,"£570,079"
Jun. Transparency 95,28/06/2021,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140238,INGEUS UK LTD,"£567,698"
Jun. Transparency 96,04/06/2021,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,5805211504,IBM LTD,"£566,652"
Jun. Transparency 97,22/06/2021,OPS DD PIP SERCO,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91772471,SERCO LTD,"£553,521"
Jun. Transparency 98,04/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210812,INSTANT MANAGED OFFICES,"£551,918"
Jun. Transparency 99,30/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01581-2,ISG FIT OUT LTD,"£543,088"
Jun. Transparency 100,28/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01575-2,ISG FIT OUT LTD,"£538,238"
Jun. Transparency 101,14/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - GAS,20404420/2105,CORONA ENERGY RETAIL 4 LTD SCC UTILITIES ONLY,"£534,385"
Jun. Transparency 102,03/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,34S16P00079/CL/20Q04/20/01,TEES VALLEY PATHWAYS ESF 1420,"£532,893"
Jun. Transparency 103,24/06/2021,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKNI222008243,TATA CONSULTANCY SERVICES LTD,"£531,713"
Jun. Transparency 104,14/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S16P00532/CL/21Q01/22,NOTTINGHAM WORK ESF 2014 2020,"£529,903"
Jun. Transparency 105,17/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210829,INSTANT MANAGED OFFICES,"£528,931"
Jun. Transparency 106,28/06/2021,DIG ITLR AMS - IBM,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806210519,IBM UNITED KINGDOM LTD,"£524,402"
Jun. Transparency 107,07/06/2021,DIG COO IT DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,20113541,GARTNER,"£513,840"
Jun. Transparency 108,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,32S17C01940/CL/21Q01/29,THE BIG LOTTERY FUND,"£511,841"
Jun. Transparency 109,11/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210820,INSTANT MANAGED OFFICES,"£502,852"
Jun. Transparency 110,24/06/2021,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,MHFI522004855,TATA CONSULTANCY SERVICES LTD,"£488,863"
Jun. Transparency 111,23/06/2021,SE SPD COURIER,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,DRMMay21ma,ROYAL MAIL GROUP PLC,"£480,627"
Jun. Transparency 112,28/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210915,INSTANT MANAGED OFFICES,"£468,270"
Jun. Transparency 113,25/06/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91773521,SERCO LTD,"£467,690"
Jun. Transparency 114,11/06/2021,HR CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023853,SHARED SERVICES CONNECTED LTD,"£466,500"
Jun. Transparency 115,14/06/2021,HR SHARED SERVICES,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023583,SHARED SERVICES CONNECTED LTD,"£460,667"
Jun. Transparency 116,30/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210920,INSTANT MANAGED OFFICES,"£458,152"
Jun. Transparency 117,01/06/2021,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,MHFI522002762,TATA CONSULTANCY SERVICES LTD,"£455,477"
Jun. Transparency 118,14/06/2021,HR SHARED SERVICES,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023856,SHARED SERVICES CONNECTED LTD,"£449,254"
Jun. Transparency 119,23/06/2021,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SIN065531,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,"£445,716"
Jun. Transparency 120,23/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,18S16P00062/CL/21Q01/21,ESF SPRINGBOARD HULL & HUMBER,"£444,018"
Jun. Transparency 121,22/06/2021,DIG FAMILY RESOURCE SURVEY ACCELERATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV006470,CREDERA LTD,"£439,720"
Jun. Transparency 122,29/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210918,INSTANT MANAGED OFFICES,"£436,921"
Jun. Transparency 123,01/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,26S16C01033/CL/20Q04/27,ESFA ESF PROJECTS,"£433,751"
