Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
May.Tranparency 13,13/05/2021,OPS WDC WSD DEL PROG REPORTING,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2320787,ALEXANDER MANN SOLUTIONS LTD,"£2,464,692"
May.Tranparency 14,13/05/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,A3332,GOVERNMENT LEGAL DEPARTMENT,"£2,168,750"
May.Tranparency 15,12/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S17C01909/CL/20Q04/27,ESFA ESF PROJECTS,"£2,067,691"
May.Tranparency 16,12/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,19S17C01899/CL/20Q04/27,ESFA ESF PROJECTS,"£2,018,505"
May.Tranparency 17,27/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900597628,SODEXO LTD,"£1,985,590"
May.Tranparency 18,25/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,36S17C01916/CL/20Q04/27,ESFA ESF PROJECTS,"£1,907,517"
May.Tranparency 19,06/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883006457,COMPUTACENTER UK LTD,"£1,874,980"
May.Tranparency 20,10/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S17C02054/CL/20Q04/27,ESFA ESF PROJECTS,"£1,842,591"
May.Tranparency 21,25/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S17C02053/CL/20Q04/27,ESFA ESF PROJECTS,"£1,806,782"
May.Tranparency 22,18/05/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EUINGB21-1162230,AMAZON WEB SERVICES EMEA SARL,"£1,793,353"
May.Tranparency 23,11/05/2021,STR CF&D DIRECTOR & SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,2730051,OFFICE FOR NATIONAL STATISTICS,"£1,771,404"
May.Tranparency 24,12/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,II9706435,NG BAILEY FACILITIES SERVICES LTD,"£1,730,418"
May.Tranparency 25,06/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,741060,BYTES SOFTWARE SERVICES LTD,"£1,577,988"
May.Tranparency 26,07/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S16P00328/CL/20Q04/20,WAYS TO WORK ESF 1420,"£1,577,644"
May.Tranparency 27,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,01S17C01895/CL/20Q04/27,ESFA ESF PROJECTS,"£1,577,274"
May.Tranparency 28,28/05/2021,HR SHARED SERVICES,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023570,SHARED SERVICES CONNECTED LTD,"£1,525,156"
May.Tranparency 29,10/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,15S17C01979/CL/20Q04/27,ESFA ESF PROJECTS,"£1,454,684"
May.Tranparency 30,17/05/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,129195,WATES CONSTRUCTION LTD,"£1,454,247"
May.Tranparency 31,24/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,32S17C01932/CL/20Q04/27,ESFA ESF PROJECTS,"£1,449,341"
May.Tranparency 32,27/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,FACMI052501,MITIE FM LTD ,"£1,396,821"
May.Tranparency 33,07/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210701,INSTANT MANAGED OFFICES,"£1,306,770"
May.Tranparency 34,13/05/2021,HR CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023253,SHARED SERVICES CONNECTED LTD,"£1,214,120"
May.Tranparency 35,19/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900598047,SODEXO LTD,"£1,158,380"
May.Tranparency 36,28/05/2021,EP CEP WHP JETS DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139101,INGEUS UK LTD,"£1,154,391"
May.Tranparency 37,06/05/2021,FG CD COURIER,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,DRMApril21m,ROYAL MAIL GROUP PLC,"£1,141,384"
May.Tranparency 38,28/05/2021,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139121,THE PLUSS ORGANISATION,"£1,112,604"
May.Tranparency 39,13/05/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,A3333,GOVERNMENT LEGAL DEPARTMENT,"£1,089,500"
May.Tranparency 40,05/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,21S17C01921/CL/20Q04/28,THE BIG LOTTERY FUND,"£1,068,526"
May.Tranparency 41,12/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,19S17C01906/CL/20Q04/27,ESFA ESF PROJECTS,"£1,065,741"
May.Tranparency 42,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S17C02022/CL/20Q04/27,ESFA ESF PROJECTS,"£1,045,611"
May.Tranparency 43,24/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210721,INSTANT MANAGED OFFICES,"£1,045,314"
May.Tranparency 44,28/05/2021,FG FIN CONT SHARED SERVICES CORE COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,100023568,SHARED SERVICES CONNECTED LTD,"£1,042,903"
May.Tranparency 45,24/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,14S16C01289/CL/20Q04/27,ESFA ESF PROJECTS,"£1,035,748"
May.Tranparency 46,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,03S16C01108/CL/20Q04/27,ESFA ESF PROJECTS,"£1,032,937"
May.Tranparency 47,27/05/2021,UCO SC BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,3863170001392,DEPARTMENT FOR COMMUNITIES,"£1,014,363"
May.Tranparency 48,28/05/2021,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139107,REED IN PARTNERSHIP LTD,"£1,009,387"
May.Tranparency 49,05/05/2021,FG FIN CONT SHARED SERVICES CORE COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,100023298,SHARED SERVICES CONNECTED LTD,"£998,427"
May.Tranparency 50,28/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01574-2,ISG FIT OUT LTD,"£971,166"
May.Tranparency 51,25/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210728,INSTANT MANAGED OFFICES,"£951,112"
May.Tranparency 52,27/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900589992A,SODEXO LTD,"£946,936"
May.Tranparency 53,04/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210623,INSTANT MANAGED OFFICES,"£939,485"
May.Tranparency 54,04/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210629,INSTANT MANAGED OFFICES,"£939,379"
May.Tranparency 55,28/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210802,INSTANT MANAGED OFFICES,"£925,555"
May.Tranparency 56,25/05/2021,UCO SC BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,3863170001393,DEPARTMENT FOR COMMUNITIES,"£918,925"
May.Tranparency 57,27/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610062638B,G4S SECURE SOLUTIONS UK LTD,"£909,709"
May.Tranparency 58,20/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S16P00071/CL/20Q04/23-01,DURHAM WORKS ESF 2014 2020,"£884,138"
May.Tranparency 59,21/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210729,INSTANT MANAGED OFFICES,"£877,641"
May.Tranparency 60,12/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S17C02014/CL/20Q04/27,ESFA ESF PROJECTS,"£866,664"
May.Tranparency 61,17/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,166214,ZSCALER INC,"£864,150"
May.Tranparency 62,21/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S17C02083/CL/20Q04/27,ESFA ESF PROJECTS,"£860,263"
May.Tranparency 63,24/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,34S17C02006/CL/20Q04/27,ESFA ESF PROJECTS,"£849,497"
May.Tranparency 64,27/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900596742,SODEXO LTD,"£840,554"
May.Tranparency 65,17/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210710,INSTANT MANAGED OFFICES,"£824,492"
May.Tranparency 66,04/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210627,INSTANT MANAGED OFFICES,"£807,654"
May.Tranparency 67,11/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210630,INSTANT MANAGED OFFICES,"£807,598"
May.Tranparency 68,13/05/2021,OPS CFC DEBT CONTRACTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91764575,SERCO LTD,"£805,677"
May.Tranparency 69,04/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S17C02042/CL/20Q04/28,THE BIG LOTTERY FUND,"£787,138"
May.Tranparency 70,27/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,SL008266,INTERSERVE CONSTRUCTION LTD,"£771,965"
May.Tranparency 71,17/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002078-210510,INSTANT MANAGED OFFICES,"£771,213"
May.Tranparency 72,10/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - GAS,20404420/2103,CORONA ENERGY RETAIL 4 LTD SCC UTILITIES ONLY,"£766,654"
May.Tranparency 73,24/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210719,INSTANT MANAGED OFFICES,"£763,475"
May.Tranparency 74,27/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210805,INSTANT MANAGED OFFICES,"£748,963"
May.Tranparency 75,27/05/2021,EP CEP WHP JETS DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139097,REMPLOY LTD,"£748,107"
May.Tranparency 76,13/05/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,GB-PSI-266417,SOFTWAREONE UK LTD,"£743,685"
May.Tranparency 77,26/05/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,HEX38000718404,EXPERIAN,"£739,228"
May.Tranparency 78,17/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210712,INSTANT MANAGED OFFICES,"£734,172"
May.Tranparency 79,11/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S17C02269/CL/20Q03/152,WEST LONDON WORK & HEALTH PROGRAMME,"£732,580"
May.Tranparency 80,19/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,32S17C01913/CL/20Q04/27,ESFA ESF PROJECTS,"£717,265"
May.Tranparency 81,27/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210803,INSTANT MANAGED OFFICES,"£716,535"
May.Tranparency 82,26/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210720,INSTANT MANAGED OFFICES,"£710,803"
May.Tranparency 83,05/05/2021,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,5804211094,IBM LTD,"£709,876"
May.Tranparency 84,28/05/2021,FG FIN CONT SHARED SERVICES CORE COSTS,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,100023669,SHARED SERVICES CONNECTED LTD,"£688,055"
May.Tranparency 85,07/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,31S16C01028/CL/20Q04/27,ESFA ESF PROJECTS,"£684,790"
May.Tranparency 86,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S19C03265/CL/20Q04/10,ESFA ESF PROJECTS,"£684,660"
May.Tranparency 87,20/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S17C01976/CL/20Q04/27,ESFA ESF PROJECTS,"£681,266"
May.Tranparency 88,11/05/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,564033,BT GLOBAL SERVICE SOLUTIONS,"£643,171"
May.Tranparency 89,05/05/2021,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,5803211355,IBM LTD,"£642,068"
May.Tranparency 90,17/05/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110276827,CAPGEMINI UK PLC,"£635,376"
May.Tranparency 91,21/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S20P04104/CL/21Q01/05,WAY2WORK,"£628,617"
May.Tranparency 92,18/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883033625,COMPUTACENTER UK LTD,"£624,270"
May.Tranparency 93,25/05/2021,FG HDD MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - VALUATION OFFICE,18000000392021,VALUATION OFFICE AGENCY,"£616,901"
May.Tranparency 94,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01561-2,ISG FIT OUT LTD,"£611,641"
May.Tranparency 95,25/05/2021,DIG DATAWORKS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV006442,CREDERA LTD,"£608,899"
May.Tranparency 96,24/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210723,INSTANT MANAGED OFFICES,"£599,778"
May.Tranparency 97,20/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S19C03320/CL/20Q04/10,ESFA ESF PROJECTS,"£584,249"
May.Tranparency 98,26/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01581-1,ISG FIT OUT LTD,"£578,707"
May.Tranparency 99,27/05/2021,EP CEP WHP DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139095,REMPLOY LTD,"£578,304"
May.Tranparency 100,28/05/2021,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKNI222003458,TATA CONSULTANCY SERVICES LTD,"£574,753"
May.Tranparency 101,27/05/2021,OPS DD PIP SERCO,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91767478,SERCO LTD,"£553,837"
May.Tranparency 102,17/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210715,INSTANT MANAGED OFFICES,"£548,580"
May.Tranparency 103,28/05/2021,DIG ITLR AMS - IBM,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5805210233,IBM UNITED KINGDOM LTD,"£541,882"
May.Tranparency 104,19/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - GAS,20404420/2104,CORONA ENERGY RETAIL 4 LTD SCC UTILITIES ONLY,"£538,518"
May.Tranparency 105,10/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,17S17C02027/CL/20Q04/27,ESFA ESF PROJECTS,"£537,821"
May.Tranparency 106,24/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210722,INSTANT MANAGED OFFICES,"£517,850"
May.Tranparency 107,27/05/2021,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139099,INGEUS UK LTD,"£514,515"
May.Tranparency 108,21/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,30S17C02057/CL/20Q04/27,ESFA ESF PROJECTS,"£511,369"
May.Tranparency 109,07/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,30S17C02024/CL/20Q04/27,ESFA ESF PROJECTS,"£510,059"
May.Tranparency 110,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S17C02021/CL/20Q04/27,ESFA ESF PROJECTS,"£502,947"
May.Tranparency 111,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01580-1.2,ISG FIT OUT LTD,"£498,673"
May.Tranparency 112,04/05/2021,SE SPD DDMS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT SCANNING,1800092145,ENGIE SERVICES LTD,"£496,537"
May.Tranparency 113,24/05/2021,DIG - SMS DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,22489,REACH DATA LTD,"£496,430"
May.Tranparency 114,24/05/2021,SE SPD COURIER,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,DRMApril21ma,ROYAL MAIL GROUP PLC,"£479,533"
May.Tranparency 115,05/05/2021,UCO DIRECTOR CENTRAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - INTERPRETATION,6688001SA,THE BIG WORD,"£476,993"
May.Tranparency 116,19/05/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ILCS0887-7,ISG FIT OUT LTD,"£470,142"
May.Tranparency 117,26/05/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02925401,SOFTCAT PLC,"£456,852"
May.Tranparency 118,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,13S17C02018/CL/20Q04/27,ESFA ESF PROJECTS,"£455,380"
May.Tranparency 119,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01579-2,ISG FIT OUT LTD,"£452,791"
May.Tranparency 120,24/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210724,INSTANT MANAGED OFFICES,"£451,757"
May.Tranparency 121,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258018,KIER CONSTRUCTION LTD,"£448,679"
May.Tranparency 122,25/05/2021,DIG PAYMENTS - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507205,ACCENTURE UK LTD,"£445,402"
