Indentifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Apr. Transparency 19,01/04/2021,EP CEP WHP JETS DEV. CONTRACTS LONDON EAST CPA9,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LLWHPJETSQ121/22,LONDON BOROUGH OF REDBRIDGE,"£3,110,170"
Apr. Transparency 20,14/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610058431,G4S SECURE SOLUTIONS UK LTD,"£3,107,129"
Apr. Transparency 21,01/04/2021,EP CEP WHP JETS DEV. CONTRACTS LONDON CENT CPA8,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,CLFWHPJETSQ121/22,CORPORATION OF LONDON,"£3,043,996"
Apr. Transparency 22,27/04/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,INV02882970,SOFTCAT PLC,"£2,909,088"
Apr. Transparency 23,28/04/2021,EP CEP WHP JETS DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138099,THE PLUSS ORGANISATION,"£2,883,372"
Apr. Transparency 24,28/04/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2311759,ALEXANDER MANN SOLUTIONS LTD,"£2,659,912"
Apr. Transparency 25,14/04/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2297725,ALEXANDER MANN SOLUTIONS LTD,"£2,657,874"
Apr. Transparency 26,22/04/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2307139,ALEXANDER MANN SOLUTIONS LTD,"£2,602,819"
Apr. Transparency 27,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S17C02063/CL/20Q0/16,CENTRAL LONDON WORKS,"£2,583,355"
Apr. Transparency 28,28/04/2021,EP CEP WHP JETS DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138090,REED IN PARTNERSHIP LTD,"£2,506,648"
Apr. Transparency 29,28/04/2021,STR DEL P ONR,EXP - SUBSIDIES TO PUBLIC CORPORATIONS (PC) - ONR,P168_ONR_GRANT_Q1_APRIL2122,OFFICE FOR NUCLEAR REGULATION,"£2,388,005"
Apr. Transparency 30,30/04/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91761469,SERCO LTD,"£2,289,040"
Apr. Transparency 31,12/04/2021,STR MONEY AND PENSIONS SERVICE GENERAL LEVY GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - SFGB - GENERAL LEVY,P154-GPL-MAPS-GIA_Q1_(21-22),THE MONEY ADVICE SERVICE,"£2,053,000"
Apr. Transparency 32,14/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ILCS0887-6,ISG FIT OUT LTD,"£2,016,300"
Apr. Transparency 33,07/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,128496,WATES CONSTRUCTION LTD,"£1,998,695"
Apr. Transparency 34,01/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV02871217,SOFTCAT PLC,"£1,996,800"
Apr. Transparency 35,01/04/2021,EP CEP WHP JETS DEV. CONTRACTS LONDON WEST CPA11,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,WLAWHPJETSQ121/22,LONDON BOROUGH OF EALING,"£1,919,041"
Apr. Transparency 36,28/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,FACMI051727,MITIE FM LTD,"£1,917,251"
Apr. Transparency 37,14/04/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91756546,SERCO LTD,"£1,865,019"
Apr. Transparency 38,27/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EUINGB21-889834,AMAZON WEB SERVICES EMEA SARL,"£1,841,032"
Apr. Transparency 39,01/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882962198,COMPUTACENTER UK LTD,"£1,824,929"
Apr. Transparency 40,29/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INVCA00003330,INSTANT MANAGED OFFICES,"£1,797,286"
Apr. Transparency 41,14/04/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2302372,ALEXANDER MANN SOLUTIONS LTD,"£1,793,270"
Apr. Transparency 42,28/04/2021,EP CEP WHP JETS DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138108,SHAW TRUST,"£1,777,137"
Apr. Transparency 43,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,I196422,WAGSTAFF INTERIORS GROUP STD FURNITURE,"£1,745,413"
Apr. Transparency 44,23/04/2021,STR FAS ADMINISTRATION DEL P,EXP - SUBSIDIES TO PUBLIC CORPORATIONS (PC) - PENSION PROTECTION FUND,P163_FAS_ADMIN_Q1_2122,PENSION PROTECTION FUND,"£1,693,000"
Apr. Transparency 45,01/04/2021,FG INTERNAL AUDIT,EXP - PURCHASE OF GOODS/SERVICES - AUDIT SERVICES,GIAAINVOICE43544,H M TREASURY GROUP,"£1,677,500"
Apr. Transparency 46,27/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EUINGB21-665248,AMAZON WEB SERVICES EMEA SARL,"£1,647,343"
Apr. Transparency 47,27/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EUINGB21-665246,AMAZON WEB SERVICES EMEA SARL,"£1,630,138"
Apr. Transparency 48,15/04/2021,EP CEP WHP DEV. CONTRACTS MANCHESTER CPA7,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,GMCAWHPQ121/22,GREATER MANCHESTER COMBINED AUTHORITY,"£1,611,350"
Apr. Transparency 49,27/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,EUINGB21-491076,AMAZON WEB SERVICES EMEA SARL,"£1,598,675"
Apr. Transparency 50,29/04/2021,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138336,CAPITA BUSINESS SERVICES LTD,"£1,542,018"
Apr. Transparency 51,06/04/2021,HR SHARED SERVICES,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100022521,SHARED SERVICES CONNECTED LTD,"£1,532,360"
Apr. Transparency 52,26/04/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,5584361188,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£1,513,118"
Apr. Transparency 53,29/04/2021,HR SHARED SERVICES,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - HR,100023299,SHARED SERVICES CONNECTED LTD,"£1,467,211"
Apr. Transparency 54,09/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,II9706238,NG BAILEY FACILITIES SERVICES LTD ,"£1,452,505"
Apr. Transparency 55,01/04/2021,EP CEP WHP DEV. CONTRACTS LONDON CENT CPA8,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,CLFWHPQ121/22,CORPORATION OF LONDON,"£1,388,096"
Apr. Transparency 56,23/04/2021,DIG DSP PLATFORM MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001744488,DELOITTE LLP,"£1,347,524"
Apr. Transparency 57,07/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,22537,RESOLUTION INTERIORS LTD,"£1,340,076"
Apr. Transparency 58,19/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ELECTRICITY,000009557583,EDF ENERGY 1 LTD SCC UTILITIES ONLY,"£1,333,944"
Apr. Transparency 59,15/04/2021,STR THE PENSIONS OMBUDSMAN NON BUDGET A,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPO,P159-TPO-GIA-APR21-TO-MAY21,THE PENSIONS OMBUDSMAN,"£1,313,000"
Apr. Transparency 60,15/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,01S17P01825/CL/20Q04/22,IMPACT ESF 1420,"£1,310,676"
Apr. Transparency 61,28/04/2021,EP CEP WHP JETS DWP CONTRACTS H COUNT CPA5,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138109,SHAW TRUST,"£1,291,507"
Apr. Transparency 62,06/04/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584358793,ATOS IT SERVICES UK LTD,"£1,285,998"
Apr. Transparency 63,06/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210505,INSTANT MANAGED OFFICES,"£1,275,621"
Apr. Transparency 64,28/04/2021,EP CEP WHP JETS DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138081,INGEUS UK LTD,"£1,271,279"
Apr. Transparency 65,07/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,13S16C00933/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£1,256,029"
Apr. Transparency 66,20/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,15S17C01948/CL/20Q04/28,ESF GREATER MANCHESTER WORKING WELL PROGRAMME,"£1,253,419"
Apr. Transparency 67,21/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INV02882973,SOFTCAT PLC,"£1,246,665"
Apr. Transparency 68,28/04/2021,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138086,REED IN PARTNERSHIP LTD,"£1,184,375"
Apr. Transparency 69,01/04/2021,EP CEP WHP DEV. CONTRACTS LONDON EAST CPA9,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,LLWHPQ121/22,LONDON BOROUGH OF REDBRIDGE,"£1,152,475"
Apr. Transparency 70,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780119942,COMPUTACENTER UK LTD,"£1,132,821"
Apr. Transparency 71,07/04/2021,STR ESA DIRECTORATE HCPS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,DRMMarch21m,ROYAL MAIL GROUP PLC,"£1,115,591"
Apr. Transparency 72,22/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210603,INSTANT MANAGED OFFICES,"£1,079,451"
Apr. Transparency 73,01/04/2021,EP CEP WHP JETS DEV. CONTRACTS LONDON SOUTH CPA10,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,SLPWHPJETSQ121/22,LONDON BOROUGH OF CROYDON,"£1,058,781"
Apr. Transparency 74,28/04/2021,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138098,THE PLUSS ORGANISATION,"£1,040,119"
Apr. Transparency 75,26/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S17C01926/CL/20Q04/28,THE BIG LOTTERY FUND,"£1,022,783"
Apr. Transparency 76,28/04/2021,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138100,SHAW TRUST,"£1,010,631"
Apr. Transparency 77,08/04/2021,DIG DATA AS STATISTICS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,2730056,OFFICE FOR NATIONAL STATISTICS,"£1,000,000"
Apr. Transparency 78,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210513,INSTANT MANAGED OFFICES,"£984,233"
Apr. Transparency 79,22/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,FACMI051812,MITIE FM LTD,"£983,518"
Apr. Transparency 80,14/04/2021,DIG SURVEYS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,2730061,OFFICE FOR NATIONAL STATISTICS,"£978,388"
Apr. Transparency 81,23/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210617,INSTANT MANAGED OFFICES,"£975,326"
Apr. Transparency 82,13/04/2021,CHG UC PROGRAMME NON-STRAND,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,CAS-GRANT-APR2021,CITIZENS ADVICE SCOTLAND,"£970,275"
Apr. Transparency 83,08/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10254385,KIER CONSTRUCTION LTD,"£970,188"
Apr. Transparency 84,09/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900589992,SODEXO LTD,"£941,952"
Apr. Transparency 85,06/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210422,INSTANT MANAGED OFFICES,"£930,648"
Apr. Transparency 86,26/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210613,INSTANT MANAGED OFFICES,"£920,280"
Apr. Transparency 87,08/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10254379,KIER CONSTRUCTION LTD,"£904,610"
Apr. Transparency 88,28/04/2021,WWEG CEP JOB FINDING SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138078,SERCO LTD,"£904,023"
Apr. Transparency 89,23/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S17C01880/CL/20Q04/28,THE BIG LOTTERY FUND,"£902,000"
Apr. Transparency 90,26/04/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584359390,ATOS IT SERVICES UK LTD,"£901,838"
Apr. Transparency 91,22/04/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02895729,SOFTCAT PLC,"£901,830"
Apr. Transparency 92,28/04/2021,EP CEP WHP JETS DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138077,REMPLOY LTD,"£901,790"
Apr. Transparency 93,21/04/2021,OPS LB BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,PLAZA-DFCINV-MAR21-INV,DEPARTMENT FOR COMMUNITIES,"£897,240"
Apr. Transparency 94,16/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210520,INSTANT MANAGED OFFICES,"£894,271"
Apr. Transparency 95,08/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,INV 22542,RESOLUTION INTERIORS LTD,"£880,033"
Apr. Transparency 96,01/04/2021,EP CEP WHP DEV. CONTRACTS LONDON WEST CPA11,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,WLAWHPQ121/22,LONDON BOROUGH OF EALING,"£867,190"
Apr. Transparency 97,08/04/2021,DIG - SECURITY CONTRACTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,3882960238,COMPUTACENTER UK LTD,"£840,415"
Apr. Transparency 98,30/04/2021,FG FSC POCA,EXP - PURCHASE OF GOODS/SERVICES - OTHER - POST OFFICE CARD ACCOUNT,1000/90057753,POST OFFICE LTD,"£837,156"
Apr. Transparency 99,26/04/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001739208,DELOITTE LLP,"£823,081"
Apr. Transparency 100,08/04/2021,DIG CHILDREN  - CMS 2012 CORE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKNI221054496,TATA CONSULTANCY SERVICES LTD,"£807,209"
Apr. Transparency 101,30/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210626,INSTANT MANAGED OFFICES,"£791,794"
Apr. Transparency 102,07/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S16C00942/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£783,954"
Apr. Transparency 103,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882988639,COMPUTACENTER UK LTD,"£763,860"
Apr. Transparency 104,26/04/2021,DIG PAYMENTS - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003504223,ACCENTURE UK LTD,"£762,945"
Apr. Transparency 105,08/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,92255979,MITIE PROPERTY SERVICES UK LTD,"£746,861"
Apr. Transparency 106,20/04/2021,UCO SC BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,3863170001382,DEPARTMENT FOR COMMUNITIES,"£746,714"
Apr. Transparency 107,28/04/2021,OPS DD PIP SERCO,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91759970,SERCO LTD,"£715,522"
Apr. Transparency 108,06/04/2021,UCO SC BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,3863170001356,DEPARTMENT FOR COMMUNITIES,"£714,317"
Apr. Transparency 109,09/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,FACMI050950,MITIE FM LTD,"£709,254"
Apr. Transparency 110,26/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210618,INSTANT MANAGED OFFICES,"£707,777"
Apr. Transparency 111,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210517,INSTANT MANAGED OFFICES,"£705,935"
Apr. Transparency 112,15/04/2021,DIG DATAWORKS DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV006361,CREDERA LTD,"£705,160"
Apr. Transparency 113,20/04/2021,UCO SC BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,3863170001381,DEPARTMENT FOR COMMUNITIES,"£694,928"
Apr. Transparency 114,06/04/2021,UCO SC BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,3863170001357,DEPARTMENT FOR COMMUNITIES,"£692,575"
Apr. Transparency 115,06/04/2021,DIG SDX REFRESH,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882962208,COMPUTACENTER UK LTD,"£688,132"
Apr. Transparency 116,26/04/2021,EP CEP WHP DWP CONTRACTS H COUNT CPA5,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138101,SHAW TRUST,"£684,511"
Apr. Transparency 117,22/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210602,INSTANT MANAGED OFFICES,"£683,465"
Apr. Transparency 118,07/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882976984,COMPUTACENTER UK LTD,"£670,898"
Apr. Transparency 119,07/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882965622,COMPUTACENTER UK LTD,"£668,009"
Apr. Transparency 120,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,01S17C01907/CL/20Q04/28,THE BIG LOTTERY FUND,"£659,135"
Apr. Transparency 121,07/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882962199,COMPUTACENTER UK LTD,"£658,621"
