Unique ID,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
Transparency april 12,21/04/2023,PCP ESTATES FM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD ,"£6,515,482"
Transparency april 13,06/04/2023,CHG UC PROGRAMME NON-STRAND,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,CITIZENS ADVICE BUREAU,"£5,290,949"
Transparency april 14,13/04/2023,STR HEALTH & WELLBEING MESOTHELIOMA 2014,EXP - SOCIAL ASSISTANCE BENEFITS - 2014 DIFFUSE MESOTHELIOMA SCHEME,DAVIES GROUP LIMITED,"£5,000,000"
Transparency april 15,26/04/2023,UCO OUTSOURCED TELEPHONY,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,TELEPERFORMANCE LTD,"£4,757,350"
Transparency april 16,24/04/2023,STR PENSION PROTECTION FUND,EXP - SUBSIDIES TO PUBLIC CORPORATIONS (PC) - PENSION PROTECTION FUND,PENSION PROTECTION FUND,"£4,720,000"
Transparency april 17,21/04/2023,PCP ESTATES FM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,MITIE FM LTD ,"£3,770,791"
Transparency april 18,13/04/2023,STR MONEY AND PENSIONS SERVICE GENERAL LEVY GIA,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - SFGB - GENERAL LEVY,MONEY AND PENSIONS SERVICE,"£3,628,000"
Transparency april 19,24/04/2023,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£3,260,578"
Transparency april 20,04/04/2023,SE SPD BULK MAIL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£2,925,145"
Transparency april 21,04/04/2023,DIG WORKPLACE COMPUTING MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£2,816,683"
Transparency april 22,28/04/2023,CMG OPS EXTERNAL CONTRACTS/SLAS EASTERN PAYMENTS NI,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£2,630,574"
Transparency april 23,20/04/2023,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMAZON WEB SERVICES EMEA SARL,"£2,489,406"
Transparency april 24,13/04/2023,STR THE PENSIONS OMBUDSMAN NON BUDGET A,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES - TPO,THE PENSION OMBUDSMAN,"£2,414,000"
Transparency april 25,04/04/2023,PCP ESTATES CSI PROJECT DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,G4S SECURE SOLUTIONS UK LTD,"£2,388,927"
Transparency april 26,27/04/2023,PCP ESTATES REEP DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£2,330,662"
Transparency april 27,04/04/2023,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£2,321,614"
Transparency april 28,18/04/2023,STR DISABILITY & EMPLOYMENT SUPPORT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£2,253,054"
Transparency april 29,06/04/2023,DIG SURVEYS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,OFFICE FOR NATIONAL STATISTICS,"£2,195,650"
Transparency april 30,12/04/2023,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,INGEUS UK LTD,"£2,153,275"
Transparency april 31,03/04/2023,FG INTERNAL AUDIT,EXP - PURCHASE OF GOODS/SERVICES - AUDIT SERVICES,HM TREASURY,"£1,831,526"
Transparency april 32,27/04/2023,PCP ESTATES FM DELA,PPE - PLANT & MACHINERY (OWNED) - COST - ADDITIONS,MITIE FM LTD,"£1,787,983"
Transparency april 33,26/04/2023,STR DISABILITY & EMPLOYMENT SUPPORT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£1,785,221"
Transparency april 34,12/04/2023,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£1,783,120"
Transparency april 35,24/04/2023,STR FAS ADMINISTRATION DEL P,EXP - SUBSIDIES TO PUBLIC CORPORATIONS (PC) - PENSION PROTECTION FUND,PENSION PROTECTION FUND,"£1,736,000"
Transparency april 36,12/04/2023,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£1,722,500"
Transparency april 37,12/04/2023,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£1,674,073"
Transparency april 38,19/04/2023,STR DISABILITY & EMPLOYMENT SUPPORT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ALEXANDER MANN SOLUTIONS LTD,"£1,621,700"
Transparency april 39,04/04/2023,PCP ESTATES CSI PROJECT DELP,PPE - PLANT & MACHINERY (OWNED) - COST - ADDITIONS,G4S SECURE SOLUTIONS UK LTD,"£1,613,569"
Transparency april 40,24/04/2023,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£1,568,700"
Transparency april 41,12/04/2023,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£1,566,100"
Transparency april 42,05/04/2023,DIG NETWORK ACCESS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,CDW LTD,"£1,553,451"
Transparency april 43,26/04/2023,OPS DD PIP SERCO,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,SERCO LTD,"£1,473,506"
Transparency april 44,24/04/2023,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£1,473,477"
Transparency april 45,04/04/2023,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£1,437,713"
Transparency april 46,27/04/2023,DIG CHANNELS STAFFING,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CABINET OFFICE,"£1,432,996"
Transparency april 47,05/04/2023,PCP ESTATES CSI PROJECT DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,G4S SECURE SOLUTIONS UK LTD,"£1,425,200"
Transparency april 48,13/04/2023,"DIG SW ASSET SUBSCRIPTION, SUPPORT & MAINT RENEWALS DELP",EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,ADVANCED 365 LTD,"£1,391,990"
Transparency april 49,04/04/2023,"DIG SW ASSET SUBSCRIPTION, SUPPORT & MAINT RENEWALS DELP",EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,BOXXE LTD,"£1,384,191"
Transparency april 50,24/04/2023,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£1,260,576"
Transparency april 51,05/04/2023,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£1,254,179"
Transparency april 52,26/04/2023,OPS RS DIRECTOR AND SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£1,233,422"
Transparency april 53,04/04/2023,PCP ESTATES CSI PROJECT DELP,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,G4S SECURE SOLUTIONS UK LTD,"£1,198,744"
Transparency april 54,24/04/2023,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£1,168,947"
Transparency april 55,12/04/2023,STR INDEPENDENT CASE EXAMINER,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,ROYAL MAIL GROUP PLC,"£1,130,924"
Transparency april 56,04/04/2023,DIG WORKPLACE COMPUTING MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£1,116,965"
Transparency april 57,28/04/2023,PCP ESTATES LSS DELA,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,MITIE FM LTD ,"£1,091,886"
Transparency april 58,24/04/2023,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£1,080,864"
Transparency april 59,24/04/2023,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS UK SERVICES LTD,"£1,052,100"
Transparency april 60,26/04/2023,DIG DATA MODERNISATION (ARA) DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CREDERA LTD,"£1,036,021"
Transparency april 61,24/04/2023,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£990,935"
Transparency april 62,05/04/2023,DIG DATA MODERNISATION (ARA) DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CREDERA LTD,"£967,408"
Transparency april 63,11/04/2023,DIG WORKPLACE SECURITY OPERATIONS S&S DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,SOFTCAT PLC,"£965,916"
Transparency april 64,19/04/2023,CHG SD CARERS ALLOWANCE INCREASE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT SCANNING,EQUANS SERVICES LTD,"£929,609"
Transparency april 65,24/04/2023,UCO SC AD SOUTH NISSA COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£891,079"
Transparency april 66,17/04/2023,CHG 620113 LEICESTER WELLINGTON STREET,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,AMEY COMMUNITY LTD,"£845,032"
Transparency april 67,24/04/2023,UCO SC BELFAST SERVICE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND NON STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£838,568"
Transparency april 68,12/04/2023,WWEG CEP IPES CPA 4 SOUTHERN ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,FEDCAP EMPLOYMENT,"£831,820"
Transparency april 69,11/04/2023,DIG MISC BAU COSTS,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,COMPUTACENTER UK LTD,"£810,759"
Transparency april 70,12/04/2023,DIG DWP PLACE PDU,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UNIFII,"£800,286"
Transparency april 71,05/04/2023,DIG DESKTOP SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£798,600"
Transparency april 72,19/04/2023,DIG DESKTOP SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£798,480"
Transparency april 73,24/04/2023,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£775,800"
Transparency april 74,05/04/2023,DIG - SECURITY PROJECTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOFTCAT PLC,"£773,784"
Transparency april 75,12/04/2023,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,MAXIMUS UK SERVICES LTD,"£773,265"
Transparency april 76,04/04/2023,DIG WORKPLACE COMPUTING MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£755,539"
Transparency april 77,24/04/2023,DIG HCS SECURITY PRODUCTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£747,006"
Transparency april 78,12/04/2023,CHG WPT BACK OF HOUSE,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,SOUTHERNS BROADSTOCK LTD,"£735,584"
Transparency april 79,27/04/2023,"DIG SW ASSET SUBSCRIPTION, SUPPORT & MAINT RENEWALS DELP",EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,EXPERIAN LTD,"£720,575"
Transparency april 80,12/04/2023,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,JOBS 22 LTD,"£707,694"
Transparency april 81,14/04/2023,DIG CORE - SERVICE TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,NEW VERVE CONSULTING LTD,"£707,147"
Transparency april 82,12/04/2023,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,SERCO LTD,"£701,572"
Transparency april 83,27/04/2023,PCP ESTATES GRANT DELA,PPE - PLANT & MACHINERY (OWNED) - COST - ADDITIONS,MORRIS & SPOTTISWOOD,"£699,173"
Transparency april 84,12/04/2023,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£661,284"
Transparency april 85,24/04/2023,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£654,216"
Transparency april 86,14/04/2023,PCP ESTATES REEP DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,MITIE FM LTD ,"£640,416"
Transparency april 87,24/04/2023,EP CEP RESTART CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£639,000"
Transparency april 88,05/04/2023,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£634,645"
Transparency april 89,04/04/2023,PCP ESTATES LCW DELP,PPE - BUILDINGS (LEASED NON-PFI) - COST - ADDITIONS,ISG FIT OUT LTD,"£606,441"
Transparency april 90,20/04/2023,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£605,406"
Transparency april 91,04/04/2023,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,STONE COMPUTERS LTD,"£595,548"
Transparency april 92,28/04/2023,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM,"£594,000"
Transparency april 93,12/04/2023,DIG DWP MI - BAU RUN,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£586,901"
Transparency april 94,12/04/2023,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,MAXIMUS UK SERVICES LTD,"£582,050"
Transparency april 95,25/04/2023,DIG TEAM COLLABORATION,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,BYTES SOFTWARE SERVICES LTD,"£556,412"
Transparency april 96,12/04/2023,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,SEETEC PLUSS LTD,"£547,120"
Transparency april 97,24/04/2023,EP CEP WHP DWP CONTRACTS NE ENG CPA2,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£545,222"
Transparency april 98,11/04/2023,CHG 622059 LIVERPOOL DUKE STREET,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,SEDDON CONSTRUCTION LTD,"£537,318"
Transparency april 99,24/04/2023,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SEETEC PLUSS LTD,"£521,394"
Transparency april 100,12/04/2023,CHG 620113 LEICESTER WELLINGTON STREET,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,AMEY COMMUNITY LTD,"£520,883"
Transparency april 101,20/04/2023,FG FSC SIMPLE PAYMENTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SIMPLE PAYMENT SERVICE,I MOVO LTD,"£519,806"
Transparency april 102,12/04/2023,DIG DWP MI - POWER BI MIGRATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£518,406"
Transparency april 103,13/04/2023,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£513,457"
Transparency april 104,25/04/2023,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£507,259"
Transparency april 105,20/04/2023,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£501,807"
Transparency april 106,26/04/2023,PCP ESTATES REEP DELP,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,INSTANT MANAGED OFFICES,"£500,276"
Transparency april 107,24/04/2023,OPS OPP INTEGRATION & CONTRACTING TEAM,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£493,147"
Transparency april 108,25/04/2023,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOFTCAT PLC,"£492,168"
Transparency april 109,19/04/2023,"DIG SW ASSET SUBSCRIPTION, SUPPORT & MAINT RENEWALS DELP",EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,MONGODB LIMITED,"£476,753"
Transparency april 110,20/04/2023,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,CAPITA BUSINESS SERVICES LTD,"£467,860"
Transparency april 111,04/04/2023,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,COMPUTACENTER UK LTD,"£466,359"
Transparency april 112,04/04/2023,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£465,736"
Transparency april 113,04/04/2023,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£465,714"
Transparency april 114,26/04/2023,PCP ESTATES REEP DELP,EXP - SERVICE ELEMENT OF NON - PFI FIN LEASES - NON PRIME,INSTANT MANAGED OFFICES,"£464,325"
Transparency april 115,20/04/2023,FG FSC SIMPLE PAYMENTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SIMPLE PAYMENT SERVICE,I MOVO LTD,"£462,652"
Transparency april 116,11/04/2023,CHG 620108 PRESTON GUILD CENTRE (HMRC),EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,SOUTHERNS BROADSTOCK LTD,"£456,851"
Transparency april 117,24/04/2023,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£454,357"
Transparency april 118,11/04/2023,DIG WORKPLACE SECURITY OPERATIONS S&S DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,SOFTCAT PLC,"£443,293"
Transparency april 119,12/04/2023,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,SHAW TRUST,"£442,888"
Transparency april 120,27/04/2023,PCP ESTATES FM DELA,PPE - FURNITURE AND FITTINGS (OWNED) - COST - ADDITIONS,MITIE FM LTD ,"£441,211"
Transparency april 121,04/04/2023,P&C SYNERGY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PIXEL GROUP LTD,"£436,626"
Transparency april 122,17/04/2023,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,HIPPO DIGITAL LTD,"£436,311"
Transparency april 123,05/04/2023,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOFTCAT PLC,"£433,948"
Transparency april 124,28/04/2023,DIG ITLR AMS - IBM,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£433,399"
Transparency april 125,24/04/2023,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SEETEC PLUSS LTD,"£425,462"
Transparency april 126,13/04/2023,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AUTOMATION LOGIC LTD,"£421,572"
Transparency april 127,13/04/2023,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ACCENTURE UK LTD,"£414,000"
Transparency april 128,17/04/2023,P&C SYNERGY,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£389,766"
Transparency april 129,28/04/2023,CHG NEW GRAVESEND FOH,PPE - POA & AUC (OWNED) - COST - ADDITIONS - OTHER,INSTANT MANAGED OFFICES,"£389,700"
Transparency april 130,27/04/2023,PCP ESTATES SECURITY DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£389,415"
Transparency april 131,24/04/2023,DIG PAYMENTS - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ACCENTURE UK LTD,"£388,729"
Transparency april 132,14/04/2023,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,PAM GROUP,"£388,424"
Transparency april 133,04/04/2023,PCP ESTATES SECURITY DELA,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£387,215"
Transparency april 134,13/04/2023,DIG OFFICE OF THE CHIEF DATA OFFICER - NON-STAFF,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DELOITTE LLP,"£383,743"
Transparency april 135,11/04/2023,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CREDERA LTD,"£383,247"
Transparency april 136,14/04/2023,CHG 620125 CANTERBURY NUTWOOD HOUSE,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM &BLDNG MNGMT - FM PROJECTS NON CAPITAL,FES SUPPORT SERVICES LTD,"£380,563"
