Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,25/10/2021,Service charge - ICT,NHSX,ACCURX LIMITED,PLUS01153-1,"71,288.71",,N1 5AA,Medium,,,,
Department of Health and Social Care,Department of Health and Social Care,12/10/2021,Storage costs,Global Health,ACTAVO BUILDING SOLUTIONS UK LIMITED,223989,"7,800.00",,WF4 3FU,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,12/10/2021,Storage costs,Global Health,ACTAVO BUILDING SOLUTIONS UK LIMITED,223989,"25,920.00",,WF4 3FU,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Storage costs,Global Health,ACTAVO BUILDING SOLUTIONS UK LIMITED,223992,"33,720.00",,WF4 3FU,Small,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2021,Revenue Grants to non-profit institutions,Public Health,ACTION ON SMOKING AND HEALTH,ASI0016449,"35,000.00",,EC1N 8JY,Micro,,,,
Department of Health and Social Care,Department of Health and Social Care,18/10/2021,Additions NCB PDC,Default Group,AIREDALE NHS FOUNDATION TRUST,PF00006103,"335,000.00",,BD20 6TD,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,25/10/2021,Additions NCB PDC,Default Group,AIREDALE NHS FOUNDATION TRUST,PF00006110,"527,000.00",,BD20 6TD,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-878,"211,361.85",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-877,"3,611,116.78",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-869,"3,633,562.94",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-880,"4,237.73",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-879,"22,629.00",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-879,"3,446.60",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-879,"3,446.60",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-879,"1,553.80",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-869,"1,837.70",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-869,"5,072.92",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-869,"10,600.00",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-878,"33,153.42",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-877,"39,956.78",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-883,"-39,956.78",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-882,"-33,153.42",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-844CR,"-10,600.00",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-875 Date,"-5,072.92",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,239834CR,"-1,837.70",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-884,"-1,553.80",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,12/10/2021,Telephone costs,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-873,"42,296.95",,SL1 2EJ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0016278,"32,568.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017031,"77,723.15",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017031,"77,723.15",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0016373,"57,520.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017049,"7,000.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017049,"7,000.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017049,"7,000.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017049,"7,000.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017049,"14,492.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017049,"22,994.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2021,Research & development,Chief Scientific Advisor,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ASI0017049,"35,000.00",,L12 2AP,Govn,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2407298,253.25,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2362750,463.88,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420040,553.98,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2358356,561.16,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2367248,561.16,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2394027,561.16,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2353487,568.63,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2371371,576.12,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2415759,585.64,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,18/10/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2424347,585.64,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,25/10/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428555,585.64,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2402761,633.12,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2424334,695.15,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2424354,708.62,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2415738,772.38,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2349007,785.62,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2407352C,816.52,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2415737,833.06,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,18/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239223,902.58,,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2385690,"1,099.86",,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2389884,"1,122.31",,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,25/10/2021,Agency staff (temp admin),Social Care Group,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428537,"1,544.76",,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2329797,"10,581.48",,EC2N 3AQ,Large,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,28017,"-258,872.17",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,27769,"-22,030.16",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,27925,"-11,521.54",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,27916,"-11,170.13",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,21/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,27842,"-2,658.82",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,C27768,-762.6,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,29/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428554,1.68,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,29/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428552,1.82,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,29/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2411550,34.55,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,29/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2424291,72.13,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,29/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2424291,114.47,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,25/10/2021,Travel & subsistence non staff,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428544,119.99,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,06/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2402819,143.2,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,29/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2389861,180,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420029,215.58,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420031,277.17,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420041,278.04,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,15/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2424283,325.08,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,18/10/2021,Contractor/ Staff Substitution,NHSX,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2385677,360,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,25/10/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428556,363.36,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2415760,417,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,18/10/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2424348,418.92,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420037,458.64,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2419976,471.19,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420025,504.05,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2419965,591.29,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2419970,601.13,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428474,601.13,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2419961,618.65,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,14/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2419969,630.06,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Agency staff (temp admin),Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2415811,672.3,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Agency staff (temp admin),Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420093,672.3,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Agency staff (temp admin),Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420049,708.62,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,06/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2385780,727.86,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420046,785.32,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,15/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2424351,785.32,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420031,831.49,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,25/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428548,831.49,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420029,862.32,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,25/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428546,970.12,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2419973,985.49,,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420045,"1,047.08",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2415746,"1,077.90",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,15/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2424341,"1,077.90",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2419960,"1,100.84",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2415748,"1,108.66",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420030,"1,193.93",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Contractor/ Staff Substitution,NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2407238,"1,266.10",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Contractor/ Staff Substitution,NHS and Workforce,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2411472,"1,266.10",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,29/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2389939D1,"1,390.28",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2415681,"1,478.22",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,21/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2419977,"1,478.23",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420025,"1,512.14",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,05/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2415762,"1,570.63",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Public Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420027,"1,701.14",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2420067,"1,857.74",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,20/10/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2302301,"1,871.28",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,08/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2419976,"1,884.77",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,15/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2424330,"2,016.19",,EC2N 3AQ,Large,,,,#N/A
Department of Health and Social Care,Department of Health and Social Care,22/10/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2428470,"2,069.51",,EC2N 3AQ,Large,,,,#N/A
