Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SHROPSHIRE COUNTY COUNCIL,25012023OS1445GD6357,696911,Adult Social Care Discharge Fund-E3202X-SHROPSHIRE COUNTY COUNCIL,SY2 6ND,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SHEFFIELD CITY COUNCIL,25012023OS1445GD6357,1352632,Adult Social Care Discharge Fund-E4404X-SHEFFIELD CITY COUNCIL,S1 1UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SEFTON COUNCIL,25012023OS1445GD6357,762443,Adult Social Care Discharge Fund-E4304X-SEFTON METROPOLITAN BOROUGH COUNCIL,L20 3NJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SANDWELL METROPOPLITAN BOROUGH COUNCIL,25012023OS1445GD6357,923964,Adult Social Care Discharge Fund-E4604X-SANDWELL METROPOPLITAN BOROUGH COUNCIL,B69 3DE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SALFORD CITY COUNCIL,LA Grants (ICTF2 IPC,-107691.57,LA Grants (ICTF2 IPC refunds) SALFORD,M27 5AP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,SALFORD CITY COUNCIL,25012023OS1445GD6357,658834,Adult Social Care Discharge Fund-E4206X-SALFORD CITY COUNCIL,M27 5AP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,RUTLAND COUNTY COUNCIL,25012023OS1445GD6357,67860,Adult Social Care Discharge Fund-E2402X-RUTLAND COUNTY COUNCIL,LE15 6HP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,672644,Adult Social Care Discharge Fund-E4403X-ROTHERHAM METROPOLITAN BOROUGH COUNCIL,S60 1AE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,ROCHDALE BOROUGH COUNCIL,25012023OS1445GD6357,554179,Adult Social Care Discharge Fund-E4205X-ROCHDALE BOROUGH COUNCIL,OL16 1XU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,REDCAR AND CLEVELAND BOROUGH COUNCIL,25012023OS1445GD6357,360113,Adult Social Care Discharge Fund-E0703X-REDCAR AND CLEVELAND BOROUGH COUNCIL,TS6 9AR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,REDBRIDGE LONDON BOROUGH COUNCIL,25012023OS1445GD6357,557988,Adult Social Care Discharge Fund-E5046X-REDBRIDGE LONDON BOROUGH COUNCIL,IG1 1TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,READING BOROUGH COUNCIL,25012023OS1445GD6357,284751,Adult Social Care Discharge Fund-E0303X-READING BOROUGH COUNCIL,RG1 7TD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,PORTSMOUTH CITY COUNCIL,25012023OS1445GD6357,445208,Adult Social Care Discharge Fund-E1701X-PORTSMOUTH CITY COUNCIL,PO1 2AL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,PLYMOUTH CITY COUNCIL,25012023OS1445GD6357,642052,Adult Social Care Discharge Fund-E1101X-PLYMOUTH CITY COUNCIL,PL1 3BJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,PETERBOROUGH CITY COUNCIL,25012023OS1445GD6357,396830,Adult Social Care Discharge Fund-E0501X-PETERBOROUGH CITY COUNCIL,PE1 1HF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,OXFORDSHIRE COUNTY COUNCIL,25012023OS1445GD6357,1145777,Adult Social Care Discharge Fund-E3120X-OXFORDSHIRE COUNTY COUNCIL,OX4 2GQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,OLDHAM METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,561177,Adult Social Care Discharge Fund-E4204X-OLDHAM METROPOLITAN BOROUGH COUNCIL,OL1 1UH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NOTTINGHAMSHIRE COUNTY COUNCIL,25012023OS1445GD6357,1763535,Adult Social Care Discharge Fund-E3021X-NOTTINGHAMSHIRE COUNTY COUNCIL,NG2 7QP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NOTTINGHAM CITY COUNCIL,25012023OS1445GD6357,775014,Adult Social Care Discharge Fund-E3001X-NOTTINGHAM CITY COUNCIL,NG1 2DE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NORTHUMBERLAND COUNTY COUNCIL,25012023OS1445GD6357,760726,Adult Social Care Discharge Fund-E2901X-NORTHUMBERLAND COUNTY COUNCIL,NE61 2EF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NORTH YORKSHIRE COUNTY COUNCIL,25012023OS1445GD6357,1211800,Adult Social Care Discharge Fund-E2721X-NORTH YORKSHIRE COUNTY COUNCIL,DL6 1DF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NORTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,515539,Adult Social Care Discharge Fund-E4503X-NORTH TYNESIDE METROPOLITAN BOROUGH COUNCIL,NE28 6UZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NORTH SOMERSET COUNCIL,25012023OS1445GD6357,461973,Adult Social Care Discharge Fund-E0104X-NORTH SOMERSET COUNCIL,BS23 1LL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NORTH NORTHAMPTONSHIRE COUNCIL,25012023OS1445GD6357,631046,Adult Social Care Discharge Fund-E2801X-NORTH NORTHAMPTONSHIRE COUNCIL,NN16 8TL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NORTH LINCOLNSHIRE COUNCIL,25012023OS1445GD6357,380459,Adult Social Care Discharge Fund-E2004X-NORTH LINCOLNSHIRE COUNCIL,DN16 1AB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NORTH EAST LINCOLNSHIRE COUNCIL,25012023OS1445GD6357,389855,Adult Social Care Discharge Fund-E2003X-NORTH EAST LINCOLNSHIRE COUNCIL,DN35 8LN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NORFOLK COUNTY COUNCIL,25012023OS1445GD6357,2089339,Adult Social Care Discharge Fund-E2620X-NORFOLK COUNTY COUNCIL,NR1 2DL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NEWHAM LONDON BOROUGH COUNCIL,25012023OS1445GD6357,734206,Adult Social Care Discharge Fund-E5045X-NEWHAM LONDON BOROUGH COUNCIL,E6 2RP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,NEWCASTLE UPON TYNE CITY COUNCIL,25012023OS1445GD6357,750415,Adult Social Care Discharge Fund-E4502X-NEWCASTLE UPON TYNE CITY COUNCIL,NE1 8PP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,MILTON KEYNES COUNCIL,25012023OS1445GD6357,454039,Adult Social Care Discharge Fund-E0401X-MILTON KEYNES COUNCIL,MK9 3ES,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,MIDDLESBROUGH COUNCIL,25012023OS1445GD6357,378968,Adult Social Care Discharge Fund-E0702X-MIDDLESBROUGH COUNCIL,TS1 9FT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,MERTON BOROUGH COUNCIL,25012023OS1445GD6357,373955,Adult Social Care Discharge Fund-E5044X-MERTON BOROUGH COUNCIL,SM4 5DX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,MEDWAY COUNCIL,25012023OS1445GD6357,498935,Adult Social Care Discharge Fund-E2201X-MEDWAY COUNCIL,ME4 4TR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,MANCHESTER CITY COUNCIL,25012023OS1445GD6357,1333025,Adult Social Care Discharge Fund-E4203X-MANCHESTER CITY COUNCIL,M60 2JR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LUTON BOROUGH COUNCIL,25012023OS1445GD6357,394063,Adult Social Care Discharge Fund-E0201X-LUTON BOROUGH COUNCIL,LU1 2BQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LONDON BOROUGH OF BRENT,25012023OS1445GD6357,671518,Adult Social Care Discharge Fund-E5033X-BRENT LONDON BOROUGH COUNCIL,HA9 0FJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LONDON BOROUGH OF BEXLEY,25012023OS1445GD6357,464188,Adult Social Care Discharge Fund-E5032X-BEXLEY LONDON BOROUGH COUNCIL,DA6 7AT,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LIVERPOOL CITY COUNCIL,25012023OS1445GD6357,1478554,Adult Social Care Discharge Fund-E4302X-LIVERPOOL CITY COUNCIL,L69 2DQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LINCOLNSHIRE COUNTY COUNCIL,LA Grants (ICTF3 IPC,-574405,LA Grants (ICTF3 IPC refunds) LINCOLNSHIRE,LN1 1YL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LINCOLNSHIRE COUNTY COUNCIL,LA Grants (ICTF3,-234277,LA Grants (ICTF2 Testing refunds) SALFORD,LN1 1YL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LINCOLNSHIRE COUNTY COUNCIL,25012023OS1445GD6357,1683975,Adult Social Care Discharge Fund-E2520X-LINCOLNSHIRE COUNTY COUNCIL,LN1 1YL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LEWISHAM LONDON BOROUGH COUNCIL,25012023OS1445GD6357,683941,Adult Social Care Discharge Fund-E5018X-LEWISHAM LONDON BOROUGH COUNCIL,SE6 4RU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LEICESTERSHIRE COUNTY COUNCIL,25012023OS1445GD6357,1207124,Adult Social Care Discharge Fund-E2421X-LEICESTERSHIRE COUNTY COUNCIL,LE3 8RA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LEICESTER CITY COUNCIL,25012023OS1445GD6357,786869,Adult Social Care Discharge Fund-E2401X-LEICESTER CITY COUNCIL,LE1 6ZG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LEEDS CITY COUNCIL,25012023OS1445GD6357,1655365,Adult Social Care Discharge Fund-E4704X-LEEDS CITY COUNCIL,LS2 8JR,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LANCASHIRE COUNTY COUNCIL,25012023OS1445GD6357,2759076,Adult Social Care Discharge Fund-E2321X-LANCASHIRE COUNTY COUNCIL,PR1 0LD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,LAMBETH LONDON BOROUGH COUNCIL GRANTS,25012023OS1445GD6357,754458,Adult Social Care Discharge Fund-E5017X-LAMBETH LONDON BOROUGH COUNCIL GRANTS,SW2 1RW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,25012023OS1445GD6357,488528,Adult Social Care Discharge Fund-E4301X-KNOWSLEY METROPOLITAN BOROUGH COUNCIL,L36 9YZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,KIRKLEES METROPOLITAN COUNCIL,25012023OS1445GD6357,929941,Adult Social Care Discharge Fund-E4703X-KIRKLEES METROPOLITAN COUNCIL,HD1 2EY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2023,Revenue Grants to local authorities,Social Care Group,KINGSTON UPON THAMES COUNCIL ROYAL BOROUGH OF,25012023OS1445GD6357,286589,Adult Social Care Discharge Fund-E5043X-KINGSTON UPON THAMES COUNCIL ROYAL BOROUGH OF,KT1 1EU,Govn,,,
