Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481316, 13.52 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481320, 13.52 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482874, 13.52 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668, 189.34 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215669," 443,324.23 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668," 349,125.19 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482874, 536.64 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215669," 8,586.24 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668," 10,303.49 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479367, 429.31 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482874, 12.10 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215669, 229.82 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479367, 12.10 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668, 350.78 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479367, 53.96 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481314, 53.96 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481316, 53.96 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215669," 1,888.74 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481315, 53.96 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481320, 53.96 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481321, 53.96 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482874, 53.96 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668," 2,050.63 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482874, 359.38 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215669," 9,164.09 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481321, 89.84 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668," 7,636.74 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668," 16,050.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215669," 17,100.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215666, 166.80 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751483277, 426.00 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751475715, 852.00 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482869, 852.00 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751483277, 852.00 ,,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751474005," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751475706," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751475711," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751475712," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751475713," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751477619," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751477628," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751478021," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751478022," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751478024," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751478025," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751478027," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751478029," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751478030," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,12/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479377," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,12/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479378," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,12/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481325," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,12/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751481331," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,13/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751482883," 1,278.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,28/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,855215668," 1,315.57 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751474007," 1,704.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751474008," 1,704.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,10/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751475708," 1,704.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751477618," 1,704.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751477620," 1,704.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751477623," 1,704.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751477627," 1,704.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751478026," 1,704.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,11/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751478035," 1,704.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,12/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479374," 1,704.00 ",,SL6 4XE,LARGE,,,,
Department of Health and Social Care,Department of Health and Social Care,12/09/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751479375," 1,704.00 ",,SL6 4XE,LARGE,,,,
