Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 16,950.00 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,30/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751503565," 58,693.25 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,30/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751503100," 65,214.72 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 80,940.00 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 82,360.13 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 223,722.72 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 549,720.00 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABBOTT LABORATORIES LTD,751510795," 2,678,151.17 ",,SL6 4XE,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ABERDEEN UNIVERSITY OF,ERS-646065-197461," 39,141.43 ",,AB24 3FX,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABINGDON HEALTH LTD,68," 1,018,429.88 ",,YO41 1LZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ABINGDON HEALTH LTD,71," 1,487,570.68 ",,YO41 1LZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003483764," 1,905,191.22 ",,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003483763," 132,980.94 ",,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003484257," 158,300.47 ",,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003483763," 164,970.00 ",,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003483763," 217,065.00 ",,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003484257," 243,500.32 ",,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003483763," 257,520.00 ",,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003484257," 571,354.15 ",,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003484257," 839,115.00 ",,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003484257," 859,140.00 ",,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ACCENTURE UK LTD,3003483763,-63.44 ,,EC3M 3BD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Revenue Grants to non-profit institutions,GLOBAL AND PUBLIC HEALTH,ACTION ON SMOKING AND HEALTH,ERS-646173-197501," 35,000.00 ",,EC1N 8JY,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Revenue Grants to non-profit institutions,GLOBAL AND PUBLIC HEALTH,ACTION ON SMOKING AND HEALTH,ERS-646356-197741," 40,000.00 ",,EC1N 8JY,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,663709103," 501,416.21 ",Air Freight,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,663030893," 1,782,945.74 ",Air Freight,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-771," 241,018.18 ",,SL1 2EJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-772, 823.44 ,,SL1 2EJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-772," 22,996.56 ",,SL1 2EJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Radio communications,FINANCE AND GROUP OPERATIONS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-772," 3,628.00 ",,SL1 2EJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,AKESO AND COMPANY LTD,20700037," 180,792.00 ",,WC1A 2TH,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-646246-197529," 32,188.00 ",,L12 2AP,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-647336-198342," 100,200.00 ",,L12 2AP,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-646176-197528," 56,697.00 ",,L12 2AP,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Professional fees,FINANCE AND GROUP OPERATIONS,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2202677," 26,435.82 ",,EC2N 3AQ,LARGE,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2211205F," 39,988.75 ",,EC2N 3AQ,LARGE,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2215433," 383,989.51 ",,EC2N 3AQ,LARGE,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,MAN255288," 792,384.00 ",,EC2N 3AQ,LARGE,,,,#N/A,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,ALLIED PUBLICITY SERVICES MANCHESTER LTD TA APS GROUP,C43739," 831,694.39 ",,SK3 0ZP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Revenue Grants to non-profit institutions,COMMUNITY CARE,ALZHEIMERS SOCIETY GRANTS ONLY,ERS-646351-197681," 88,907.00 ",,EC3N 2AE,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,ANIMAL AND PLANT HEALTH AGENCY,134229," 213,044.59 ",,KT15 3NB,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Revenue Grants to non-profit institutions,ACUTE CARE AND WORKFORCE,ANTHONY NOLAN TRUST,ERS-646664-198061," 151,263.00 ",,NW3 2NU,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,30/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,ASHFIELD DISTRICT COUNCIL,ERS-647786-198781," 383,754.00 ",,NG17 8DA,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Outsourcing Contract,COMMUNITY CARE,ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES,5815," 100,000.40 ",,SW8 2LL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,IT minor costs non capital,GLOBAL AND PUBLIC HEALTH,ATAMIS LTD,A2020-833," 143,520.00 ",,CF10 1EW,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,03/10/2020,IT minor costs non capital,GLOBAL AND PUBLIC HEALTH,ATAMIS LTD,A2020-802," 35,400.00 ",,CF10 1EW,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,IT minor costs non capital,GLOBAL AND PUBLIC HEALTH,ATAMIS LTD,A2020-804," 69,609.00 ",,CF10 1EW,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/10/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584347179," 27,460.37 ",,WS11 0JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/10/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584347180," 143,596.80 ",,WS11 0JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584348246," 1,032,426.60 ",,WS11 0JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584348246," 7,189.25 ",,WS11 0JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Addition Clearing - IT,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584347583," 58,877.06 ",,WC1V 6EA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584346860," 49,471.75 ",,WS11 0JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584346857," 103,204.02 ",,WS11 0JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584346859," 119,322.82 ",,WS11 0JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ATOS IT SOLUTIONS AND SERVICES LTD,5584347436," 44,462.76 ",,WS11 0JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AYANDA CAPITAL LTD,INV-00017DHSCA," 3,358,333.85 ",PPE - Masks,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AYANDA CAPITAL LTD,INV-00017DHSCA," 2,835,000.19 ",PPE - Masks,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,AYANDA CAPITAL LTD,INV-00017DHSCA," 3,607,951.17 ",PPE - Masks,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BAE SYSTEMS APPLIED INTELLIGENCE,1001037888," 78,672.00 ",,GU2 7YP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BAE SYSTEMS APPLIED INTELLIGENCE,1001037888," 96,971.18 ",,GU2 7YP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BAE SYSTEMS APPLIED INTELLIGENCE,1001037395," 712,946.24 ",,GU2 7YP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Printing,COMMUNITY CARE,BANNER GROUP LTD TA BANNER,5971868," 29,328.00 ",,NR3 1PD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BARINGA PARTNERS LLP,24410," 72,720.00 ",,SW1E 6AJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BARINGA PARTNERS LLP,24410," 74,124.00 ",,SW1E 6AJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BARINGA PARTNERS LLP,24410," 115,589.92 ",,SW1E 6AJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BARINGA PARTNERS LLP,24410," 134,640.00 ",,SW1E 6AJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BARINGA PARTNERS LLP,24410," 152,988.00 ",,SW1E 6AJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BARINGA PARTNERS LLP,24410," 178,920.00 ",,SW1E 6AJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,ERS-647464-198481," 638,718.00 ",,RM10 7BY,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,BARNET LONDON BOROUGH COUNCIL,ERS-647465-198482," 1,187,607.00 ",,NW4 4BG,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,Service Charge - ICT,COMMUNITY CARE,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6023594," 65,000.00 ",,S75 2PY,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,BARNSLEY METROPOLITAN BOROUGH COUNCIL,ERS-647736-198741," 1,974,928.00 ",,S70 2TJ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,BARROW-IN-FURNESS BOROUGH COUNCIL,ERS-647727-198701," 201,147.00 ",,LA14 2LD,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-646270-197641," 121,624.00 ",,E1 8PR,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-645537-197095," 170,470.00 ",,E1 8PR,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-646229-197640," 2,370,523.00 ",,E1 8PR,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-647360-198385," 66,396.00 ",,E1 8PR,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BARTS HEALTH NHS TRUST,ERS-646200-197639," 82,601.00 ",,E1 8PR,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,BEHAVIOURAL INSIGHTS LTD,153427," 125,258.71 ",,SW1H 9NP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,BEHAVIOURAL INSIGHTS LTD,153422," 135,670.64 ",,SW1H 9NP,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BEIJING YUANLONG YATO CULTURE DISSEMINATION CO LTD,663234654," 2,340,195.02 ",PPE - Aprons,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BEIJING YUANLONG YATO CULTURE DISSEMINATION CO LTD,662844734," 1,746,765.25 ",PPE - Aprons,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,BEXLEY LONDON BOROUGH COUNCIL,ERS-647466-198483," 744,861.00 ",,DA8 1TL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BIGNEAT LTD,106943," 28,357.92 ",,PO7 7XU,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BIGNEAT LTD,106980," 35,447.40 ",,PO7 7XU,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BIGNEAT LTD,107035," 70,894.80 ",,PO7 7XU,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL (BBSRC),BBSR16005," 392,048.82 ",,SN2 2ER,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,BIRMINGHAM CITY COUNCIL,ERS-647467-198484," 3,425,448.00 ",,B3 3AB,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BIRMINGHAM UNIVERSITY OF,ERS-647328-198354," 147,175.70 ",,B15 2TT,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BIRMINGHAM UNIVERSITY OF,ERS-647374-198401," 93,500.00 ",,B15 2TT,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BIRMINGHAM UNIVERSITY OF,ERS-647361-198356," 40,376.00 ",,B15 2TT,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BIRMINGHAM WOMENS AND CHILDRENS NHS FOUNDATION TRUST,ERS-646220-197573," 33,816.00 ",,B4 6NL,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BJSS LTD,INV-UK013359," 223,386.30 ",,LS1 4HR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,BLACKBURN WITH DARWEN BOROUGH COUNCIL,ERS-647468-198486," 1,197,568.00 ",,BB1 7DY,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,BLACKPOOL BOROUGH COUNCIL,ERS-647469-198485," 1,533,906.00 ",,FY1 1NF,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-647342-198352," 144,880.00 ",,FY3 8NR,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Additions PDC Capital Support NHS FT Permanent,Holding CT Core,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,HAFS-31290," 1,408,000.00 ",,FY3 8NR,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Outsourcing Contract,ACUTE CARE AND WORKFORCE,BLACKTHORN GRC LTD,1030BI," 75,574.51 ",,CR0 0XT,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,Revenue Grants to non-profit institutions,ACUTE CARE AND WORKFORCE,BLOOD CANCER UK,ERS-646504-197821," 42,584.00 ",,WC1R 4TH,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BLUETREE DESIGN AND PRINT LTD,NHS04,"-132,496.00 ",PPE - Masks,S63 5DR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BLUETREE DESIGN AND PRINT LTD,NHS04," 132,496.00 ",PPE - Masks,S63 5DR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,30/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BLUETREE DESIGN AND PRINT LTD,NHS06," 132,496.00 ",PPE - Masks,S63 5DR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,30/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,BLUETREE DESIGN AND PRINT LTD,NHS07," 132,496.00 ",PPE - Masks,S63 5DR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Publicity & advertising,GLOBAL AND PUBLIC HEALTH,BMG RESEARCH LTD,117435," 28,000.00 ",,B15 3BE,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,BMJ PUBLISHING GROUP LTD,BD0116310," 230,959.24 ",,WC1H 9JR,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,BMNT LTD,1001," 41,499.60 ",,SW1A 2HU,SME,,,,,
