Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,02/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Wigan,W22061530355,27804.747,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,02/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Wigan,W22061530353,29276.861,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,02/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Wigan,W22061530352,64271.29,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,02/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Wigan,W22061530895,32089.842,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,02/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Wigan,W22061530896,30070.805,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,02/08/2022,SFVS - product & distribution cost,Public Health,Total Produce - Wigan,W22061530350,33117.497,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Policy Payments,Public Health,NHS BLOOD AND TRANSPLANT (NHSBT),964664,5038333,NHSBT - Revenue funding 22/23,LS15 7TW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/08/2022,Secondees in invoiced costs,Public Health,NHS NORTH WEST LONDON CLINICAL COMMISSIONING GROUP - CENTRAL LONDON BOROUGH,7413000000,30934,Secondees in invoiced costs,NW1 5JD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/08/2022,Revenue Policy Payments,Public Health,NHS BLOOD AND TRANSPLANT (NHSBT),964663,920000,NHSBT Employer Pension Contributions 2022-23,LS15 7TW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/08/2022,Good received not invoiced (ST),Public Health,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-2223-074,920000,NHSBT - Revenue funding 22/23,LS15 7TW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,02/08/2022,Revenue Grants to non-profit institutions,Public Health,BRITISH PREGNANCY ADVISORY SERVICE,ASI0024332,26829.91,2022_20b_BPAS_NI_Abortion Q1 payment,CV37 9BF,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,10/08/2022,Storage costs,Office For Health Improvement & Disparities (OHID),CARGO SERVICES LIMITED,FCP0000959,57774.77,Cargo invoice ,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,05/08/2022,Other programme expenditure,Office For Health Improvement & Disparities (OHID),FATTURA NUMERO ,FCP0000953,143424.72,FATTURA NUMERO 220000188\P & 200000377\P,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,31/08/2022,Other programme expenditure,Office For Health Improvement & Disparities (OHID),ALLPAY LIMITED,AUG Supplementary,1901262.39,Healthy Start Beneficiaries' prepaid card payments 2022-23,HR1 3SE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Policy Payments,Office For Health Improvement & Disparities (OHID),SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,2100118428,35738.5,Q1 IPS employment and welfare service Sheffield,S10 3TH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),WORCESTERSHIRE COUNTY COUNCIL,27072022AH1424GD6169,230221.2,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E1821X-WORCESTERSHIRE COUNTY COUNCIL,WR5 2NP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),WOLVERHAMPTON CITY COUNCIL,27072022AH1424GD6169,290640.4,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E4607X-WOLVERHAMPTON CITY COUNCIL,WV1 1RG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),WEST BERKSHIRE COUNCIL,27072022AH1424GD6169,73622,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E0302X-WEST BERKSHIRE COUNCIL,RG14 5LD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),WANDSWORTH LONDON BOROUGH COUNCIL,27072022AH1424GD6169,179482.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5021X-WANDSWORTH LONDON BOROUGH COUNCIL,SW18 2PU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),THE LONDON BOROUGH OF RICHMOND UPON THAMES,27072022AH1424GD6169,86452.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5047X-RICHMOND UPON THAMES BOROUGH COUNCIL,TW1 3BZ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),TELFORD AND WREKIN BOROUGH OF,27072022AH1424GD6169,148886.4,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E3201X-TELFORD AND WREKIN BOROUGH OF,TF3 4LF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),STOCKTON ON TEES BOROUGH COUNCIL,27072022AH1424GD6169,282611.6,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E0704X-STOCKTON ON TEES BOROUGH COUNCIL,TS23 2YD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),STOCKPORT METROPOLITAN BOROUGH COUNCIL,27072022AH1424GD6169,168406.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E4207X-STOCKPORT METROPOLITAN BOROUGH COUNCIL,SK1 3XE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),SOUTHWARK LONDON BOROUGH COUNCIL,27072022AH1424GD6169,339284.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5019X-SOUTHWARK LONDON BOROUGH COUNCIL,SE1 2QH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),SOMERSET COUNTY COUNCIL,27072022AH1424GD6169,212222.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E3320X-SOMERSET COUNTY COUNCIL,TA1 4DY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),SEFTON COUNCIL,27072022AH1424GD6169,400927.2,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E4304X-SEFTON METROPOLITAN BOROUGH COUNCIL,L20 3NJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),SANDWELL METROPOPLITAN BOROUGH COUNCIL,27072022AH1424GD6169,212814.4,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E4604X-SANDWELL METROPOPLITAN BOROUGH COUNCIL,B69 3DE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),NORTH LINCOLNSHIRE COUNCIL,27072022AH1424GD6169,155263.2,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E2004X-NORTH LINCOLNSHIRE COUNCIL,DN16 1AB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),MILTON KEYNES COUNCIL,27072022AH1424GD6169,137223.2,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E0401X-MILTON KEYNES COUNCIL,MK9 3ES,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),MERTON BOROUGH COUNCIL,27072022AH1424GD6169,96994.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5044X-MERTON BOROUGH COUNCIL,SM4 5DX,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),LEWISHAM LONDON BOROUGH COUNCIL,27072022AH1424GD6169,237794.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5018X-LEWISHAM LONDON BOROUGH COUNCIL,SE6 4RU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),LEICESTER CITY COUNCIL,27072022AH1424GD6169,323432.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E2401X-LEICESTER CITY COUNCIL,LE1 6ZG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),LANCASHIRE COUNTY COUNCIL,27072022AH1424GD6169,1033871.6,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E2321X-LANCASHIRE COUNTY COUNCIL,PR1 0LD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),KINGSTON UPON THAMES COUNCIL ROYAL BOROUGH OF,27072022AH1424GD6169,91540.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5043X-KINGSTON UPON THAMES COUNCIL ROYAL BOROUGH OF,KT1 1EU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),ISLINGTON LONDON BOROUGH COUNCIL,27072022AH1424GD6169,341568.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5015X-ISLINGTON LONDON BOROUGH COUNCIL,EC1V 7LQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),HERTFORDSHIRE COUNTY COUNCIL,27072022AH1424GD6169,320451.2,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E1920X-HERTFORDSHIRE COUNTY COUNCIL,SG13 8DQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),HEREFORDSHIRE COUNCIL,27072022AH1424GD6169,113679.6,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E1801X-HEREFORDSHIRE COUNCIL,HR1 2XW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),HAMPSHIRE COUNTY COUNCIL,27072022AH1424GD6169,321086,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E1721X-HAMPSHIRE COUNTY COUNCIL,SO23 8UJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),ENFIELD LONDON BOROUGH COUNCIL,27072022AH1424GD6169,182850.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5037X-ENFIELD LONDON BOROUGH COUNCIL,EN1 3XL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),EALING LONDON BOROUGH COUNCIL,27072022AH1424GD6169,287064.4,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5036X-EALING LONDON BOROUGH COUNCIL,W5 2HL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),DORSET COUNTY COUNCIL,27072022AH1424GD6169,173692.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E1203X-DORSET COUNTY COUNCIL,DT1 1XJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),DONCASTER METROPOLITAN BOROUGH COUNCIL,27072022AH1424GD6169,301750.4,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E4402X-DONCASTER METROPOLITAN BOROUGH COUNCIL,DN1 1GG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),DERBYSHIRE COUNTY COUNCIL,27072022AH1424GD6169,325028,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E1021X-DERBYSHIRE COUNTY COUNCIL,DE4 3AG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),DERBY CITY COUNCIL,27072022AH1424GD6169,338780.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E1001X-DERBY CITY COUNCIL,DE1 2FS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),CROYDON LONDON BOROUGH COUNCIL,27072022AH1424GD6169,188744,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5035X-CROYDON LONDON BOROUGH COUNCIL,CR9 1BQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),CITY OF YORK COUNCIL,27072022AH1424GD6169,130226.4,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E2701X-YORK COUNCIL CITY OF,YO1 6GA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),CHESHIRE WEST AND CHESTER COUNCIL,27072022AH1424GD6169,171388.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E0604X-CHESHIRE WEST AND CHESTER COUNCIL,CH34 9DB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),CENTRAL BEDFORDSHIRE UNITARY AUTHORITY,27072022AH1424GD6169,114161.6,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E0203X-CENTRAL BEDFORDSHIRE UNITARY AUTHORITY,SG17 5TQ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),CAMDEN LONDON BOROUGH COUNCIL,27072022AH1424GD6169,353162.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5011X-CAMDEN LONDON BOROUGH COUNCIL,WC1H 8NG,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),BURY METROPOLITAN BOROUGH COUNCIL,27072022AH1424GD6169,150219.2,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E4202X-BURY METROPOLITAN BOROUGH COUNCIL,BL9 0SP,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),BUCKINGHAMSHIRE COUNCIL,27072022AH1424GD6169,135645.6,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E0402X-BUCKINGHAMSHIRE COUNTY COUNCIL,HP19 8FF,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),BROMLEY LONDON BOROUGH COUNCIL,27072022AH1424GD6169,105737.2,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E5034X-BROMLEY LONDON BOROUGH COUNCIL,BR1 3UH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),BRIGHTON AND HOVE CITY COUNCIL,27072022AH1424GD6169,456996,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E1401X-BRIGHTON AND HOVE CITY COUNCIL,BN1 1JE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),BOURNEMOUTH CHRISTCHURCH AND POOLE COUNCIL,27072022AH1424GD6169,228930,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E1204X-BOURNEMOUTH CHRISTCHURCH AND POOLE COUNCIL,BH2 6DY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),BEDFORD BOROUGH COUNCIL,27072022AH1424GD6169,150192.4,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E0202X-BEDFORD BOROUGH COUNCIL,MK40 1SH,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Revenue Grants to local authorities,Office For Health Improvement & Disparities (OHID),BARNSLEY METROPOLITAN BOROUGH COUNCIL,27072022AH1424GD6169,268288.8,GD31/6169 - Supplementary Substance Misuse Treatment & Recovery-E4401X-BARNSLEY METROPOLITAN BOROUGH COUNCIL,S70 2TJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),NHS SUPPLY CHAIN,9423000023,1657520.91,Add: S1 SFVS Reimbursement costs 2021-22 ,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),NHS SUPPLY CHAIN,9423000022,57334.19,Add: S1 SFVS Reimbursement costs 2021-22 ,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),NHS SUPPLY CHAIN,9423000021,478350.98,Add: S1 SFVS Reimbursement costs 2021-22 ,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),NHS SUPPLY CHAIN,9423000020,1275381.56,Add: S1 SFVS Reimbursement costs 2021-22 ,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),NHS SUPPLY CHAIN,9423000019,214264.03,Add: S1 SFVS Reimbursement costs 2021-22 ,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/08/2022,Outsourcing Contract,Office For Health Improvement & Disparities (OHID),NHS SUPPLY CHAIN,9423000018,200171.25,Add: S1 SFVS Reimbursement costs 2021-22 ,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,25/08/2022,Publicity & advertising,Office For Health Improvement & Disparities (OHID),PARAGON CUSTOMER COMMUNICATIONS (LONDON) LTD,PHSIN015955,28038,Q2 22/23 database management/reporting,EC2M 7EB,Large,,,
Department of Health and Social Care,Department of Health and Social Care,24/08/2022,Publicity & advertising,Office For Health Improvement & Disparities (OHID),SERCO LTD,91863707,191634.46,OHID contact centre costs ,RG27 9UY,Small,,,
Department of Health and Social Care,Department of Health and Social Care,23/08/2022,Secondees in invoiced costs,Office For Health Improvement & Disparities (OHID),BIRMINGHAM CITY COUNCIL,910223165,63443.32,Secondees in invoiced costs,B3 3AB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/08/2022,Revenue Policy Payments,Office For Health Improvement & Disparities (OHID),CHANGE GROW LIVE LIMITED (CGL),IN2813,41555,Q1 IPS employment and welfare service Birmingham,BN1 1YR,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/08/2022,Consultancy/Professional Advice,Office For Health Improvement & Disparities (OHID),WELLSET REPO LIMITED T/A FLIPSIDE,9010660462,39000,Multiple products within the mobile portfolio,GU6 8AJ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,23/08/2022,Consultancy/Professional Advice,Office For Health Improvement & Disparities (OHID),WELLSET REPO LIMITED T/A FLIPSIDE,9010660461,59460,Multiple products within the mobile portfolio,GU6 8AJ,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,22/08/2022,Revenue Policy Payments,Office For Health Improvement & Disparities (OHID),ESSEX COUNTY COUNCIL,1020150509,61000,Q1 IPS employment and welfare service Essex,CM1 1JZ,Govn,,,
