Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2021,Legal Fees,Global Health,ADDLESHAW GODDARD LLP,AGI0803," 31,025.00 ",,EC1Y 4AG,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2021,Travel & subsistence non staff,Global Health,ADDLESHAW GODDARD LLP,AGI0802," 11,205.94 ",,EC1Y 4AG,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Travel & subsistence non staff,Global Health,ADDLESHAW GODDARD LLP,AGI0839," 7,306.08 ",,EC1Y 4AG,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2021,Travel & subsistence non staff,Global Health,ADDLESHAW GODDARD LLP,AGI0803, 199.62 ,,EC1Y 4AG,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2021,Other programme expenditure,Global Health,ADRECO LIMITED,1711846," 262,728.00 ",,MK1 1DR,Micro,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/01/2021,Revenue Grants to non-profit institutions,NHS and Workforce,AGE UK SUNDERLAND,ASI0004706," 74,354.00 ",,SR2 7AQ,Micro,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/01/2021,Research & development,GLOBAL AND PUBLIC HEALTH,AIDENCE BV,FCP0000002," 300,000.00 ",FIRST INSTALL TO AIDENCE BV,,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/01/2021,Other programme expenditure,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,FCP0000049," 3,063,969.34 ",Air Freight,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Other programme expenditure,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,FCP0000065," 1,153,221.64 ",Air Freight,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2021,Other programme expenditure,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,FCP0000068," 3,021,667.28 ",Air Freight,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Other programme expenditure,GLOBAL AND PUBLIC HEALTH,AIR CHARTER SERVICE LTD,FCP0000048," 3,723,474.56 ",Air Freight,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-795," 3,598,195.10 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-787," 3,229,373.76 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-793A," 7,142.07 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-802," 2,650.00 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-796," 241,018.18 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-788," 241,018.18 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-789," 23,820.00 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-789," 3,628.00 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Service charge - ICT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-798," 23,041.20 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Service charge - ICT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-790," 23,041.20 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Publicity & advertising,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-799," 4,228.16 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-787," 368,821.34 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-792,"-33,715.49 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Additions-IT,NHS and Workforce,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-804,"-335,105.85 ",,SL1 2EJ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/01/2021,Contractor/ Staff Substitution,Global Health,AKESO AND COMPANY LTD,20700071," 835,609.20 ",,WC1A 2TH,Small,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245253," 74,557.92 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2219601," 62,363.52 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2221754," 50,818.13 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247860," 25,622.69 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235477," 25,258.72 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235476," 22,624.67 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2221898," 21,422.04 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2204623," 19,956.02 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226488," 19,863.94 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226483," 17,908.92 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231860," 17,641.44 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247862," 17,150.96 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245255," 16,383.62 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226638," 16,383.62 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2215313," 14,967.02 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235473," 14,689.62 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239113," 13,800.38 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242749," 12,934.44 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239089," 12,503.40 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235501," 12,503.40 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239162," 12,318.60 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239185," 12,010.68 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231751," 11,918.18 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235482," 11,917.68 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239157," 11,341.08 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242690," 11,273.46 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239104," 11,234.40 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231776," 11,086.70 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239173," 11,086.68 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2191771," 10,839.84 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2200896," 10,809.52 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242651," 10,717.20 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2226486," 10,224.48 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,25/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242675," 10,080.96 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245128," 9,423.68 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245118," 8,813.77 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239181," 8,379.68 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2219598," 8,007.12 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245143," 8,000.47 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235561," 7,961.76 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2209056," 7,760.68 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247811," 7,681.08 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235624," 7,623.72 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231843," 7,560.72 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231805," 7,560.72 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2223940," 7,483.51 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239143," 7,391.16 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235557," 7,391.16 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245148," 7,380.00 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239166," 7,347.12 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2245141," 7,261.81 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235641," 7,088.22 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2223959," 6,947.57 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2215304," 6,929.17 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2202667," 6,929.17 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239199," 6,898.42 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235604," 6,898.42 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2215316," 6,898.37 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Contractor/ Staff Substitution,Finance and Group Operations,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242732," 6,861.35 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235520," 6,753.60 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235575," 6,679.20 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2231845," 6,679.20 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2217455," 6,652.01 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235593," 6,615.68 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2242748," 6,426.61 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247834," 6,405.67 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2211078," 6,374.84 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2239225," 6,345.10 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2235631," 6,314.68 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247816," 6,159.30 ",,EC2N 3AQ,Large,,,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2021,Contractor/ Staff Substitution,Global Health,ALEXANDER MANN SOLUTIONS LTD PSR ONLY,2247808," 6,159.30 ",,EC2N 3AQ,Large,,,,,
